id,sku,http_status,ok,payload_keys,price_fields_written,error
4156,9646-301,200,True,description|meta_description|meta_title|short_description|specifications,none,
4154,5023,200,True,description|meta_description|meta_title|short_description|specifications,none,
4152,5022,200,True,description|meta_description|meta_title|short_description|specifications,none,
4150,5021,200,True,description|meta_description|meta_title|short_description|specifications,none,
4148,5064,200,True,description|meta_description|meta_title|short_description|specifications,none,
4146,5063,200,True,description|meta_description|meta_title|short_description|specifications,none,
4145,5062,200,True,description|meta_description|meta_title|short_description|specifications,none,
4144,5061,200,True,description|meta_description|meta_title|short_description|specifications,none,
4143,5052,200,True,description|meta_description|meta_title|short_description|specifications,none,
4142,5051,200,True,description|meta_description|meta_title|short_description|specifications,none,
4140,5042,200,True,description|meta_description|meta_title|short_description|specifications,none,
4138,5041,200,True,description|meta_description|meta_title|short_description|specifications,none,
4137,5031,200,True,description|meta_description|meta_title|short_description|specifications,none,
4134,5072,200,True,description|meta_description|meta_title|short_description|specifications,none,
4132,5071,200,True,description|meta_description|meta_title|short_description|specifications,none,
4131,2304-01,200,True,description|meta_description|meta_title|short_description|specifications,none,
4130,7214-50M,200,True,description|meta_description|meta_title|short_description|specifications,none,
4129,F5-2311,200,True,description|meta_description|meta_title|short_description|specifications,none,
4127,6372-25,200,True,description|meta_description|meta_title|short_description|specifications,none,
4125,1156-1000,200,True,description|meta_description|meta_title|short_description|specifications,none,
4124,ISV-E40,0,False,description|meta_description|meta_title|short_description|specifications,none,"{""error"": ""HTTP PUT https://api.karzartools.com/api/v1/products/4124 failed after 4 tries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.karzartools.com'. (_ssl.c:1081)>""}"
4122,ISU-250C,200,True,description|meta_description|meta_title|short_description|specifications,none,
4121,ISR-CS130-W,200,True,description|meta_description|meta_title|short_description|specifications,none,
4119,ISO-1200FN,200,True,description|meta_description|meta_title|short_description|specifications,none,
4118,HDT-L411,200,True,description|meta_description|meta_title|short_description|specifications,none,
4117,DSW-A010,200,True,description|meta_description|meta_title|short_description|specifications,none,
4116,9563-C40,200,True,description|meta_description|meta_title|short_description|specifications,none,
4115,9315-CF210,200,True,description|meta_description|meta_title|short_description|specifications,none,
4113,9241-ML200,200,True,description|meta_description|meta_title|short_description|specifications,none,
4112,8604-40,200,True,description|meta_description|meta_title|short_description|specifications,none,
4110,8301-1200,200,True,description|meta_description|meta_title|short_description|specifications,none,
4108,8203-CW1T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4107,8203-CW05T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4106,8203-CW03T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4104,8101-30,200,True,description|meta_description|meta_title|short_description|specifications,none,
4102,8003-6,200,True,description|meta_description|meta_title|short_description|specifications,none,
4101,8003-10,200,True,description|meta_description|meta_title|short_description|specifications,none,
4100,7527-2D,200,True,description|meta_description|meta_title|short_description|specifications,none,
4098,7527-1D,200,True,description|meta_description|meta_title|short_description|specifications,none,
4097,7517-3D,200,True,description|meta_description|meta_title|short_description|specifications,none,
4095,7516-5D,200,True,description|meta_description|meta_title|short_description|specifications,none,
4094,7515-10,200,True,description|meta_description|meta_title|short_description|specifications,none,
4092,7513-4,200,True,description|meta_description|meta_title|short_description|specifications,none,
4091,7513-2,200,True,description|meta_description|meta_title|short_description|specifications,none,
4090,7315-21,200,True,description|meta_description|meta_title|short_description|specifications,none,
4088,7302-21,200,True,description|meta_description|meta_title|short_description|specifications,none,
4086,7163-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4085,7161-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4084,7145-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4082,7144-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4081,7110-1200,200,True,description|meta_description|meta_title|short_description|specifications,none,
4079,6896-13,200,True,description|meta_description|meta_title|short_description|specifications,none,
4077,6896-11,200,True,description|meta_description|meta_title|short_description|specifications,none,
4076,6832-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4074,6566-2,200,True,description|meta_description|meta_title|short_description|specifications,none,
4072,6520-87,0,False,description|meta_description|meta_title|short_description|specifications,none,"{""error"": ""HTTP PUT https://api.karzartools.com/api/v1/products/4072 failed after 4 tries: <urlopen error timed out>""}"
4071,6520-67,200,True,description|meta_description|meta_title|short_description|specifications,none,
4069,6511-24,200,True,description|meta_description|meta_title|short_description|specifications,none,
4068,6300,200,True,description|meta_description|meta_title|short_description|specifications,none,
4066,6298-2,200,True,description|meta_description|meta_title|short_description|specifications,none,
4065,6228-40,200,True,description|meta_description|meta_title|short_description|specifications,none,
4064,6226-80,200,True,description|meta_description|meta_title|short_description|specifications,none,
4062,6224-40,200,True,description|meta_description|meta_title|short_description|specifications,none,
4060,63B2Y10-5201,200,True,description|meta_description|meta_title|short_description|specifications,none,
4058,5013,200,True,description|meta_description|meta_title|short_description|specifications,none,
4056,4917-30,200,True,description|meta_description|meta_title|short_description|specifications,none,
4054,4852-3,200,True,description|meta_description|meta_title|short_description|specifications,none,
4053,4852-30,200,True,description|meta_description|meta_title|short_description|specifications,none,
4051,4852-15,200,True,description|meta_description|meta_title|short_description|specifications,none,
4049,4851-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4048,4845-2,200,True,description|meta_description|meta_title|short_description|specifications,none,
4047,4844-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4046,4841-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4045,4837-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4044,4836-2,200,True,description|meta_description|meta_title|short_description|specifications,none,
4042,4834-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4040,4833-4,200,True,description|meta_description|meta_title|short_description|specifications,none,
4039,4833-3,200,True,description|meta_description|meta_title|short_description|specifications,none,
4037,4833-2,200,True,description|meta_description|meta_title|short_description|specifications,none,
4036,4832-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4034,4830,200,True,description|meta_description|meta_title|short_description|specifications,none,
4033,4829-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
4032,4796-75,200,True,description|meta_description|meta_title|short_description|specifications,none,
4031,4796-50,200,True,description|meta_description|meta_title|short_description|specifications,none,
4030,4790-075,200,True,description|meta_description|meta_title|short_description|specifications,none,
4028,4790-050,200,True,description|meta_description|meta_title|short_description|specifications,none,
4026,4621-35,200,True,description|meta_description|meta_title|short_description|specifications,none,
4024,4168-S25,200,True,description|meta_description|meta_title|short_description|specifications,none,
4023,4139-8P,200,True,description|meta_description|meta_title|short_description|specifications,none,
4022,4139-6G,200,True,description|meta_description|meta_title|short_description|specifications,none,
4020,4139-5G,200,True,description|meta_description|meta_title|short_description|specifications,none,
4019,4139-4G,200,True,description|meta_description|meta_title|short_description|specifications,none,
4018,4139-30T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4017,4139-28T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4016,4139-27T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4014,4139-26T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4012,4139-25T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4010,4139-22T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4008,4139-20T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4007,4139-18T,200,True,description|meta_description|meta_title|short_description|specifications,none,
4005,4139-16R,200,True,description|meta_description|meta_title|short_description|specifications,none,
4003,4139-14R,200,True,description|meta_description|meta_title|short_description|specifications,none,
