id,sku,name,is_active,has_short,has_long,tech_count
4156,9646-301,سختی سنج فلزات اینسایز (Insize) مدل 301-9646,,False,False,2
4154,5023,ست ساعت شیطونکی و پایه اینسایز(insize) مدل 5023,,False,False,3
4152,5022,ست کولیس و میکرومتر اینسایز(insize) مدل 5022,,False,False,0
4150,5021,ست کولیس و میکرومتر اینسایز(insize) مدل 5021,,False,False,0
4148,5064,ست ابزار دقیق جوشکاری 6 پارچه اینسایز(insize) مدل 5064,,False,False,0
4146,5063,ست ابزار دقیق 6 پارچه اینسایز(insize) مدل 5063,,False,False,0
4145,5062,ست ابزار دقیق 6 پارچه اینسایز(insize) مدل 5062,,False,False,0
4144,5061,ست ابزار دقیق 6 پارچه اینسایز(insize) مدل 5061,,False,False,0
4143,5052,ست ابزار دقیق 5 پارچه اینسایز(insize) مدل 5052,,False,False,0
4142,5051,ست ابزار دقیق 5 پارچه اینسایز(insize) مدل 5051,,False,False,0
4140,5042,ست ابزار دقیق 4 پارچه اینسایز(insize) مدل 5042,,False,False,0
4138,5041,ست ابزار دقیق 4 پارچه اینسایز(insize) مدل 5041,,False,False,0
4137,5031,ست ساعت اندیکاتور دیجیتال و انبر قفلی اینسایز(insize) مدل 5031,,False,False,1
4134,5072,ست ابزار دقیق جوشکاری 7 پارچه اینسایز(insize) مدل 5072,,False,False,0
4132,5071,ست ابزار دقیق جوشکاری 7 پارچه اینسایز(insize) مدل 5071,,False,False,0
4131,2304-01,ساعت اینچی دور کوچک اینسایز (Insize) مدل 01-2304,,False,False,1
4130,7214-50M,کابل انتقال داده ساعت دیجیتال بلوتوثی اینسایز (Insize) مدل 7214-50M,,False,False,0
4129,F5-2311,ساعت اندیکاتور اینسایز (Insize) دور کوچک کورس 5 میلی متری مدل F5-2311,,False,False,3
4127,6372-25,هد میکرومتر اینسایز (Insize) مدل 25-6372,,False,False,2
4125,1156-1000,کولیس دیجیتال اینسایز (Insize) 100 سانتی متر پایه دار مدل 1000-1156,,False,False,2
4124,ISV-E40,بروسکوپ اینسایز (Insize) مدل ISV-E40,,False,False,0
4122,ISU-250C,ضخامت سنج اولتراسونیک فلزات اینسایز (Insize) مدل ISU-250C,,False,False,2
4121,ISR-CS130-W,بلوک زبری سنج جعبه ای اینسایز (Insize) مدل ISR-CS130-W,,False,False,0
4119,ISO-1200FN,ضخامت سنج رنگ اینسایز (Insize) 0 – 2000 میکرون همراه با کابل مدل ISO-1200FN,,False,False,2
4118,HDT-L411,سختی سنج مدادی فلزات اینسایز (Insize) مدل HDT-L411,,False,False,1
4117,DSW-A010,کرنومتر اینسایز (Insize) مدل DSW-A010,,False,False,1
4116,9563-C40,متر دیجیتال و لیزری اینسایز (Insize) 40 متری بلوتوثی مدل 9563-C40,,False,False,2
4115,9315-CF210,آمپرمتر کلمپی اینسایز (Insize) مدل 9315-CF210,,False,False,0
4113,9241-ML200,مولتی متر دیجیتال اینسایز (Insize) مدل 9241-ML200,,False,False,0
4112,8604-40,ترازو دیجیتال اینسایز (Insize) 40kg مدل 40-8604,,False,False,1
