sku,product_name,image_url,detail_url,confidence
4910-600,شیب سنج دیجیتال 60سانت — 60 سانت,https://www.tosag.ch/media/image/product/52918/lg/digitale-wasserwaage-und-neigungsmesser.jpg,https://www.tosag.ch/Digital-spirit-level-and-clinometer,very_high
4911-600,تراز 60سانت الومینیومی ( بدون مگنت ) — 60 سانت,https://www.tosag.ch/media/image/product/68346/lg/wasserwaage-aus-aluminiumdruckguss.jpg,https://www.tosag.ch/Die-cast-aluminum-spirit-level,very_high
4918-300,تراز 30سانت مگنت دار — 30 سانت,https://www.tosag.ch/media/image/product/68356/lg/wasserwaage-aus-aluminiumdruckguss-einfache-ausfuehrung.jpg,https://www.tosag.ch/Spirit-level-made-of-die-cast-aluminum-simple-version,very_high
4918-600,تراز 60سانت مگنت دار — 60 سانت,https://www.tosag.ch/media/image/product/68356/lg/wasserwaage-aus-aluminiumdruckguss-einfache-ausfuehrung.jpg,https://www.tosag.ch/Spirit-level-made-of-die-cast-aluminum-simple-version,very_high
4922-100,تراز 2طرفه دستی — 0-100mm,https://www.tosag.ch/media/image/product/72769/lg/hand-wasserwaage.jpg,https://www.tosag.ch/Cast-aluminum-spirit-level-250mm_4,very_high
4922-150,تراز 3طرفه دستی 15سانت — 15 سانت,https://www.tosag.ch/media/image/product/72769/lg/hand-wasserwaage.jpg,https://www.tosag.ch/Cast-aluminum-spirit-level-250mm_4,very_high
6202-100,"2,180,000 پایه ساعت 6202-80 387 — 0-100mm",https://www.tosag.ch/media/image/product/62802/lg/magnet-messstativ.jpg,https://www.tosag.ch/Magnetic-measuring-stand,very_high
6210-100,پایه ساعت مفصلی — 0-100mm,https://www.tosag.ch/media/image/product/68115/lg/universal-magnet-messstativ.jpg,https://www.tosag.ch/Universal-magnetic-measuring-stand,very_high
6282-2001,رابط ساعت 1سانت — 1 سانت,https://www.tosag.ch/media/image/product/68237/lg/verlaengerung-fuer-messeinsaetze-stahl.jpg,https://www.tosag.ch/Extension-for-measuring-inserts-steel,very_high
6282-2002,رابط ساعت 1/5سانت — 5 سانت,https://www.tosag.ch/media/image/product/68237/lg/verlaengerung-fuer-messeinsaetze-stahl.jpg,https://www.tosag.ch/Extension-for-measuring-inserts-steel,very_high
6282-2003,رابط ساعت 2سانت — 2 سانت,https://www.tosag.ch/media/image/product/68237/lg/verlaengerung-fuer-messeinsaetze-stahl.jpg,https://www.tosag.ch/Extension-for-measuring-inserts-steel,very_high
6282-2004,رابط ساعت 2/5سانت — 5 سانت,https://www.tosag.ch/media/image/product/68237/lg/verlaengerung-fuer-messeinsaetze-stahl.jpg,https://www.tosag.ch/Extension-for-measuring-inserts-steel,very_high
6282-2005,رابط ساعت 3سانت — 3 سانت,https://www.tosag.ch/media/image/product/68237/lg/verlaengerung-fuer-messeinsaetze-stahl.jpg,https://www.tosag.ch/Extension-for-measuring-inserts-steel,very_high
6282-2007,رابط ساعت 4سانت — 4 سانت,https://www.tosag.ch/media/image/product/68237/lg/verlaengerung-fuer-messeinsaetze-stahl.jpg,https://www.tosag.ch/Extension-for-measuring-inserts-steel,very_high
6282-2009,رابط ساعت 5سانت — 5 سانت,https://www.tosag.ch/media/image/product/68237/lg/verlaengerung-fuer-messeinsaetze-stahl.jpg,https://www.tosag.ch/Extension-for-measuring-inserts-steel,very_high
6282-2013,رابط ساعت 7سانت — 7 سانت,https://www.tosag.ch/media/image/product/68237/lg/verlaengerung-fuer-messeinsaetze-stahl.jpg,https://www.tosag.ch/Extension-for-measuring-inserts-steel,very_high
6282-2017,رابط ساعت 10سانت — 10 سانت,https://www.tosag.ch/media/image/product/68237/lg/verlaengerung-fuer-messeinsaetze-stahl.jpg,https://www.tosag.ch/Extension-for-measuring-inserts-steel,very_high
6511-241,"32,560,000 پارالل گیج 6511-24 599 — 0-241mm",https://www.tosag.ch/media/image/product/64953/lg/parallelenunterlagen-im-satz.jpg,https://www.tosag.ch/Parallel-documents-in-the-set_1,very_high
6801-1201,وی بلوک مگنتی 80*70*95میلیمتر — 0-1201mm,https://www.tosag.ch/media/image/product/62813/lg/magnet-prisma.jpg,https://www.tosag.ch/Magnet-prism,very_high
6801-1202,وی بلوک مگنتی 100*70*95میلیمتر — 0-1202mm,https://www.tosag.ch/media/image/product/62813/lg/magnet-prisma.jpg,https://www.tosag.ch/Magnet-prism,very_high
6862-1002,"نقاله ،گام سنج ،ارسنج ،فیلر ،گونیا مویی ،سوزن خط کش ،خط کش ،پایه 17,990,000 5013 376 — 0-1002mm",https://www.tosag.ch/media/image/product/63219/lg/messtisch.jpg,https://www.tosag.ch/Measuring-table,very_high
6890-702,وی بلوک مگنتی 70*60*73میلیمتر — 0-702mm,https://www.tosag.ch/media/image/product/88059/lg/magnetprisma.jpg,https://www.tosag.ch/Magnetic-prism,very_high
6900-132,گرید 00 صفحه صافی گرانیت 300 * 200 * 60 — 0-132mm,https://www.tosag.ch/media/image/product/62925/lg/mess-und-kontrollplatte-aus-granit.jpg,https://www.tosag.ch/Granite-measuring-and-control-plate,very_high
6900-142,گرید 00 صفحه صافی گرانیت 400 * 250 * 60 — 0-142mm,https://www.tosag.ch/media/image/product/62925/lg/mess-und-kontrollplatte-aus-granit.jpg,https://www.tosag.ch/Granite-measuring-and-control-plate,very_high
6900-153,گرید 00 صفحه صافی گرانیت 500 * 315 * 70 — 0-153mm,https://www.tosag.ch/media/image/product/62925/lg/mess-und-kontrollplatte-aus-granit.jpg,https://www.tosag.ch/Granite-measuring-and-control-plate,very_high
6900-164,گرید 00 صفحه صافی گرانیت 630 * 400 * 80 — 0-164mm,https://www.tosag.ch/media/image/product/62925/lg/mess-und-kontrollplatte-aus-granit.jpg,https://www.tosag.ch/Granite-measuring-and-control-plate,very_high
6900-185,گرید 00 صفحه صافی گرانیت 800 * 500 * 100 — 0-185mm,https://www.tosag.ch/media/image/product/62925/lg/mess-und-kontrollplatte-aus-granit.jpg,https://www.tosag.ch/Granite-measuring-and-control-plate,very_high
7110-150,خط کش استن استیل 15سانت کولیس دیجیتال — 0-150mm,https://www.tosag.ch/media/image/product/67764/lg/stahlmassstab-einfache-ausfuehrung.jpg,https://www.tosag.ch/Steel-scale-simple-version,very_high
7110-200,خط کش استن استیل 20سانت — 20 سانت,https://www.tosag.ch/media/image/product/67764/lg/stahlmassstab-einfache-ausfuehrung.jpg,https://www.tosag.ch/Steel-scale-simple-version,very_high
7110-300,خط کش استن استیل 30سانت — 30 سانت,https://www.tosag.ch/media/image/product/67764/lg/stahlmassstab-einfache-ausfuehrung.jpg,https://www.tosag.ch/Steel-scale-simple-version,very_high
7110-500,خط کش استن استیل 50سانت — 50 سانت,https://www.tosag.ch/media/image/product/67764/lg/stahlmassstab-einfache-ausfuehrung.jpg,https://www.tosag.ch/Steel-scale-simple-version,very_high
7110-600,خط کش استن استیل 60سانت — 60 سانت,https://www.tosag.ch/media/image/product/67764/lg/stahlmassstab-einfache-ausfuehrung.jpg,https://www.tosag.ch/Steel-scale-simple-version,very_high
7114-950,سیرکومتر قطر لوله 20 - 300 — 0-950mm,https://www.tosag.ch/media/image/product/68111/lg/umfang-messband.jpg,https://www.tosag.ch/Scope-measuring-tape_3,very_high
7139-100,خط کش نواری 1متر باریک — 1 متر,https://www.tosag.ch/media/image/product/72800/lg/selbstklebendes-massband.jpg,https://www.tosag.ch/Self-adhesive-Measuring-Tape,very_high
7205-200,گونیا مرکز یاب 20سانت — 20 سانت,https://www.tosag.ch/media/image/product/67817/lg/streichmass-fuer-mittelpunkt.jpg,https://www.tosag.ch/Coating-gauge-for-center-point,very_high
7247-150,پرگار مستقیم 15سانت — 15 سانت,https://www.tosag.ch/media/image/product/67267/lg/qualitaets-zirkel.jpg,https://www.tosag.ch/Quality-Circle,very_high
7247-200,پرگار مستقیم 20سانت — 20 سانت,https://www.tosag.ch/media/image/product/67267/lg/qualitaets-zirkel.jpg,https://www.tosag.ch/Quality-Circle,very_high
7247-300,پرگار مستقیم 30سانت — 30 سانت,https://www.tosag.ch/media/image/product/67267/lg/qualitaets-zirkel.jpg,https://www.tosag.ch/Quality-Circle,very_high
7261-150,پرگار داخل 15سانت — 15 سانت,https://www.tosag.ch/media/image/product/53660/lg/feder-lochzirkel.jpg,https://www.tosag.ch/Spring-punch-compass,very_high
7261-200,پرگار داخل 20سانت — 20 سانت,https://www.tosag.ch/media/image/product/53660/lg/feder-lochzirkel.jpg,https://www.tosag.ch/Spring-punch-compass,very_high
7261-300,پرگار داخل 30سانت — 30 سانت,https://www.tosag.ch/media/image/product/53660/lg/feder-lochzirkel.jpg,https://www.tosag.ch/Spring-punch-compass,very_high
7262-150,پرگار خارج 15سانت — 15 سانت,https://www.tosag.ch/media/image/product/53655/lg/feder-greifzirkel.jpg,https://www.tosag.ch/Spring-Gripper-Compass,very_high
7262-200,پرگار خارج 20سانت — 20 سانت,https://www.tosag.ch/media/image/product/53655/lg/feder-greifzirkel.jpg,https://www.tosag.ch/Spring-Gripper-Compass,very_high
7262-300,پرگار خارج 30سانت — 30 سانت,https://www.tosag.ch/media/image/product/53655/lg/feder-greifzirkel.jpg,https://www.tosag.ch/Spring-Gripper-Compass,very_high
7350-160,ست رابط گیج داخل سیلندر 50 - 160 — 0-160mm,https://www.tosag.ch/media/image/product/62972/lg/messbolzen-fuer-bohrungsmessgeraete.jpg,https://www.tosag.ch/Measuring-pin-for-bore-gauges,very_high
