brand,brand_id,sku,name,description,category_id,category_name,category_confidence,price_raw,price_currency,base_price_toman,price_is_inquiry,accuracy,size_range,size_label_fa,specifications_json,section_title,source_file,source_row_hint,parse_flags
Dasqua | داسکوا,4,8321-4030,"1,336,200,000 ی ي سنج شور A,B,E,O,OO","1,336,200,000 ی ي سنج شور A,B,E,O,OO",91,سختی سنج لاستیک,high,,rial,,false,0/01mm,,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01mm""}], ""dimensions"": [], ""features"": {}}","‪1,336,200,000 ی ي سنج شور ‪A,B,E,O,OO",لیست قیمت داسکوا 14050212.pdf,line:2834,missing_price
Dasqua | داسکوا,4,8321-4035,"1,336,200,000 ی ي سنج شور A,B,E,O,OO","1,336,200,000 ی ي سنج شور A,B,E,O,OO",91,سختی سنج لاستیک,high,,rial,,false,0/01mm,,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01mm""}], ""dimensions"": [], ""features"": {}}","‪1,336,200,000 ی ي سنج شور ‪A,B,E,O,OO",لیست قیمت داسکوا 14050212.pdf,line:2836,missing_price
Dasqua | داسکوا,4,8321-4040,"1,336,200,000 ی ي سنج شور A,B,E,O,OO","1,336,200,000 ی ي سنج شور A,B,E,O,OO",91,سختی سنج لاستیک,high,,rial,,false,0/01mm,,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01mm""}], ""dimensions"": [], ""features"": {}}","‪1,336,200,000 ی ي سنج شور ‪A,B,E,O,OO",لیست قیمت داسکوا 14050212.pdf,line:2837,missing_price
Dasqua | داسکوا,4,8321-4045,"1,336,200,000 ی ي سنج شور A,B,E,O,OO","1,336,200,000 ی ي سنج شور A,B,E,O,OO",91,سختی سنج لاستیک,high,,rial,,false,0/01mm,,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01mm""}], ""dimensions"": [], ""features"": {}}","‪1,336,200,000 ی ي سنج شور ‪A,B,E,O,OO",لیست قیمت داسکوا 14050212.pdf,line:2838,missing_price
Dasqua | داسکوا,4,8400-0000,تراز دیجیتال مگنت دار ابسلوت ضد,تراز دیجیتال مگنت دار ابسلوت ضد,71,تراز صنعتی,high,"90,600,000",rial,9060000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",تراز دیجیتال مگنت دار ابسلوت ضد,لیست قیمت داسکوا 14050212.pdf,line:2348,
Dasqua | داسکوا,4,8400-0005,تراز دیجیتال مگنت دار ابسلوت ضد — 0-50mm,تراز دیجیتال مگنت دار ابسلوت ضد,71,تراز صنعتی,high,"94,800,000",rial,9480000,false,0/05,0-50mm,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/05""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-50mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",تراز دیجیتال مگنت دار ابسلوت ضد,لیست قیمت داسکوا 14050212.pdf,line:2342,
Dasqua | داسکوا,4,8400-0010,تراز دیجیتال مگنت دار ابسلوت ضد — 0-100mm,تراز دیجیتال مگنت دار ابسلوت ضد,71,تراز صنعتی,high,,rial,,false,,0-100mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-100mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",تراز دیجیتال مگنت دار ابسلوت ضد,لیست قیمت داسکوا 14050212.pdf,line:2345,missing_price|duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,8400-0020,تراز تخت دیجیتال مگنت دار (شیب سنج) — 0-200mm,تراز تخت دیجیتال مگنت دار (شیب سنج),71,تراز صنعتی,high,,rial,,false,,0-200mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-200mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",تراز تخت دیجیتال مگنت دار (شیب سنج),لیست قیمت داسکوا 14050212.pdf,line:2353,duplicate_sku_merged|missing_price|duplicate_sku_in_pdf
Dasqua | داسکوا,4,8500-1063,ضخامت سنج الکی — 0-1063mm,ضخامت سنج الکی,62,عمق سنج,medium,"1,952,950,000",rial,195295000,false,,0-1063mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-1063mm""}], ""dimensions"": [], ""features"": {}}",ضخامت سنج الکی,لیست قیمت داسکوا 14050212.pdf,line:3068,
Dasqua | داسکوا,4,8500-1075,ضخامت سنج الکی — 0-1075mm,ضخامت سنج الکی,62,عمق سنج,medium,"2,405,050,000",rial,240505000,false,,0-1075mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-1075mm""}], ""dimensions"": [], ""features"": {}}",ضخامت سنج الکی,لیست قیمت داسکوا 14050212.pdf,line:3072,
Dasqua | داسکوا,4,8500-3020,ضخامت سنج الکی,ضخامت سنج الکی,62,عمق سنج,medium,"185,100,000",rial,18510000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {}}",ضخامت سنج الکی,لیست قیمت داسکوا 14050212.pdf,line:3037,
Dasqua | داسکوا,4,8500-3030,ضخامت سنج الکی,ضخامت سنج الکی,62,عمق سنج,medium,"195,450,000",rial,19545000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {}}",ضخامت سنج الکی,لیست قیمت داسکوا 14050212.pdf,line:3041,
Dasqua | داسکوا,4,8500-4025,ضخامت سنج الکی,ضخامت سنج الکی,62,عمق سنج,medium,"205,650,000",rial,20565000,false,,,,"{""technical_specs"": [], ""dimensions"": [], ""features"": {}}",ضخامت سنج الکی,لیست قیمت داسکوا 14050212.pdf,line:3044,
