brand,brand_id,sku,name,description,category_id,category_name,category_confidence,price_raw,price_currency,base_price_toman,price_is_inquiry,accuracy,size_range,size_label_fa,specifications_json,section_title,source_file,source_row_hint,parse_flags
INSIZE | اینسایز,3,0110-1125,7114-3460سیرکومتر قطر لوله 700 - 1100کولیس دیجیتال — 0-1125mm,7114-3460سیرکومتر قطر لوله 700 - 1100کولیس دیجیتال,77,متر,medium,"9,020,000",toman,9020000,false,,0-1125mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-1125mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",‪- ‪ 7114-3460سیرکومتر قطر لوله ‪ 700 - 1100کولیس دیجیتال,3654608110343495427_57334447193566_260620_174401.pdf,line:1686,
INSIZE | اینسایز,3,1103-150,کولیس دیجیتال 15سانت — 15 سانت,کولیس دیجیتال 15سانت,57,انواع کولیس,high,"3,150,000",toman,3150000,false,0/01,0-150mm,15 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-150mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪2,650,000 کولیس دیجیتال ‪ 7.5سانت ‪1111-75 ‪220",3654608110343495427_57334447193566_260620_174401.pdf,line:28,
INSIZE | اینسایز,3,1103-200,کولیس دیجیتال 20سانت — 20 سانت,کولیس دیجیتال 20سانت,57,انواع کولیس,high,"4,440,000",toman,4440000,false,0/01,0-200mm,20 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-200mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪2,650,000 کولیس دیجیتال ‪ 7.5سانت ‪1111-75 ‪220",3654608110343495427_57334447193566_260620_174401.pdf,line:30,
INSIZE | اینسایز,3,1103-300,کولیس دیجیتال 30سانت — 30 سانت,کولیس دیجیتال 30سانت,57,انواع کولیس,high,"7,820,000",toman,7820000,false,0/01,0-300mm,30 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-300mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪2,650,000 کولیس دیجیتال ‪ 7.5سانت ‪1111-75 ‪220",3654608110343495427_57334447193566_260620_174401.pdf,line:32,
INSIZE | اینسایز,3,1106-301,کولیس دیجیتال 30سانت فک بلند 10سانت — 30 سانت,کولیس دیجیتال 30سانت فک بلند 10سانت,57,انواع کولیس,high,"23,560,000",toman,23560000,false,0/01,0-301mm,30 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-301mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪21,810,000 ‪ 1110-300Aکولیس دیجیتال ‪ 30سانت با فک های الماس ‪236",3654608110343495427_57334447193566_260620_174401.pdf,line:50,
INSIZE | اینسایز,3,1106-302,کولیس دیجیتال 30سانت فک بلند 15سانت — 30 سانت,کولیس دیجیتال 30سانت فک بلند 15سانت,57,انواع کولیس,high,"26,310,000",toman,26310000,false,0/01,0-302mm,30 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-302mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪21,810,000 ‪ 1110-300Aکولیس دیجیتال ‪ 30سانت با فک های الماس ‪236",3654608110343495427_57334447193566_260620_174401.pdf,line:52,
INSIZE | اینسایز,3,1106-501,کولیس دیجیتال 50سانت — 50 سانت,کولیس دیجیتال 50سانت,57,انواع کولیس,high,"15,760,000",toman,15760000,false,0/01,0-501mm,50 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-501mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪21,810,000 ‪ 1110-300Aکولیس دیجیتال ‪ 30سانت با فک های الماس ‪236",3654608110343495427_57334447193566_260620_174401.pdf,line:54,
INSIZE | اینسایز,3,1106-502,کولیس دیجیتال 50سانت فک بلند 15سانت — 50 سانت,کولیس دیجیتال 50سانت فک بلند 15سانت,57,انواع کولیس,high,"35,820,000",toman,35820000,false,0/01,0-502mm,50 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-502mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪21,810,000 ‪ 1110-300Aکولیس دیجیتال ‪ 30سانت با فک های الماس ‪236",3654608110343495427_57334447193566_260620_174401.pdf,line:58,
INSIZE | اینسایز,3,1106-503,کولیس دیجیتال 50سانت فک بلند 20سانت — 50 سانت,کولیس دیجیتال 50سانت فک بلند 20سانت,57,انواع کولیس,high,"45,970,000",toman,45970000,false,0/01,0-503mm,50 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-503mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪21,810,000 ‪ 1110-300Aکولیس دیجیتال ‪ 30سانت با فک های الماس ‪236",3654608110343495427_57334447193566_260620_174401.pdf,line:60,
INSIZE | اینسایز,3,1106-505,کولیس دیجیتال 50سانت فک بلند 30سانت — 50 سانت,کولیس دیجیتال 50سانت فک بلند 30سانت,57,انواع کولیس,high,"66,800,000",toman,66800000,false,0/01,0-505mm,50 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-505mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪21,810,000 ‪ 1110-300Aکولیس دیجیتال ‪ 30سانت با فک های الماس ‪236",3654608110343495427_57334447193566_260620_174401.pdf,line:62,
INSIZE | اینسایز,3,1106-601,کولیس دیجیتال 60سانت — 60 سانت,کولیس دیجیتال 60سانت,57,انواع کولیس,high,"17,720,000",toman,17720000,false,0/01,0-601mm,60 سانت,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/01""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-601mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}","‪0/01 mm ‪21,810,000 ‪ 1110-300Aکولیس دیجیتال ‪ 30سانت با فک های الماس ‪236",3654608110343495427_57334447193566_260620_174401.pdf,line:56,
