id,sku,name,is_active,short_description,description,meta_title,meta_description,has_short,has_long_stub,has_long_ok,has_meta_title,has_meta_description,tech_keys,tech_count
1672,6310-0023,گیج رزوه ی 22 — 0-230mm,True,,گیج رزوه ی 22,,,False,True,False,False,False,بازه اندازه‌گیری,1
1673,6310-0024,گیج رزوه ی 23 — 0-240mm,True,,گیج رزوه ی 23,,,False,True,False,False,False,بازه اندازه‌گیری,1
1674,6310-0025,گیج رزوه ی 24 — 0-25mm,True,,گیج رزوه ی 24,,,False,True,False,False,False,بازه اندازه‌گیری,1
1675,6350-0005,سوزن) شابلون گپ ( شابلون 2 — 0-50mm,True,,سوزن) شابلون گپ ( شابلون 2,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1676,6703-1005,میکروسکوپ اندازه گی 1 — 0-1005mm,True,,میکروسکوپ اندازه گی 1,,,False,True,False,False,False,بازه اندازه‌گیری,1
1677,6710-0005,زبری سنج دیجیتال پرتابل — 0-50mm,True,,زبری سنج دیجیتال پرتابل,,,False,True,False,False,False,بازه اندازه‌گیری,1
1678,7000-0010,پایه ساعت هیدرولیک با بازوی سه — 0-100mm,True,,پایه ساعت هیدرولیک با بازوی سه,,,False,True,False,False,False,بازه اندازه‌گیری,1
1679,7111-1105,میکرومی ی پایه — 0-1105mm,True,,میکرومی ی پایه,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1680,7121-0025,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک) — 0-25mm,True,,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),,,False,False,True,False,False,بازه اندازه‌گیری,1
1681,7121-0030,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک) — 0-30mm,True,,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),,,False,False,True,False,False,بازه اندازه‌گیری,1
1682,7121-0035,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک) — 0-35mm,True,,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),,,False,False,True,False,False,بازه اندازه‌گیری,1
1683,7121-0045,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک) — 0-45mm,True,,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),,,False,False,True,False,False,بازه اندازه‌گیری,1
1684,7122-0005,ضخامت سنج الکی — 0-50mm,True,,ضخامت سنج الکی,,,False,True,False,False,False,بازه اندازه‌گیری,1
1685,7122-0010,ضخامت سنج الکی — 0-100mm,True,,ضخامت سنج الکی,,,False,True,False,False,False,بازه اندازه‌گیری,1
1686,7122-0015,ضخامت سنج الکی — 0-150mm,True,,ضخامت سنج الکی,,,False,True,False,False,False,بازه اندازه‌گیری,1
1687,7123-0005,پایه سوزن خط کش مگنت — 0-50mm,True,,پایه سوزن خط کش مگنت,,,False,True,False,False,False,بازه اندازه‌گیری,1
1688,7212-1015,کمی دیجیتال با درایو 1/2 1 — 0-1015mm,True,,کمی دیجیتال با درایو 1/2 1,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1689,7212-4020,شابلون ضخامت سنج رنگ و پوشش,True,,شابلون ضخامت سنج رنگ و پوشش,,,False,True,False,False,False,دقت,1
1690,7312-0010,پایه ساعت مفصیل با بازوی سه بعدی — 0-100mm,True,,پایه ساعت مفصیل با بازوی سه بعدی,,,False,True,False,False,False,بازه اندازه‌گیری,1
1691,7312-0015,پایه ساعت مفصیل با بازوی سه بعدی — 0-150mm,True,,پایه ساعت مفصیل با بازوی سه بعدی,,,False,True,False,False,False,بازه اندازه‌گیری,1
1692,7412-0005,پایه ساعت هیدرولیک با بازوی سه — 0-50mm,True,,پایه ساعت هیدرولیک با بازوی سه,,,False,True,False,False,False,بازه اندازه‌گیری,1
1693,7611-0020,ترازوی جیت دیجیتال — 0-200mm,True,,ترازوی جیت دیجیتال,,,False,True,False,False,False,بازه اندازه‌گیری,1
1694,7851-0005,کمی دیجیتال با درایو 1/2 1 — 0-50mm,True,,کمی دیجیتال با درایو 1/2 1,,,False,True,False,False,False,بازه اندازه‌گیری,1
1695,7851-0008,کمی دیجیتال با درایو 1/2 1 — 0-80mm,True,,کمی دیجیتال با درایو 1/2 1,,,False,True,False,False,False,بازه اندازه‌گیری,1
1696,7851-0011,کمی دیجیتال با درایو 1/2 1 — 0-110mm,True,,کمی دیجیتال با درایو 1/2 1,,,False,True,False,False,False,بازه اندازه‌گیری,1
1697,7851-0013,کمی دیجیتال با درایو 1/2 1 — 0-130mm,True,,کمی دیجیتال با درایو 1/2 1,,,False,True,False,False,False,بازه اندازه‌گیری,1
1698,7912-0004,پایه ساعت گر ی — 0-40mm,True,,پایه ساعت گر ی,,,False,True,False,False,False,بازه اندازه‌گیری,1
