product_id,brand,sku,current_base_price,proposed_base_price,price_delta,price_source_id,price_source_url,price_source_date,price_source_value,price_rule,unit,identity_match,matched_via,snapshot_sha256
1732,DASQUA,8500-6363,100735000.00,121895000,21160000.00,shopmill:46166,https://shopmilltools.com/product/sm-46166/dasqua-granite-surface-plate-model-8500-6363/,2026-09-09T12:24:29Z,121895000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1733,DASQUA,8500-8050,101765000.00,123140000,21375000.00,shopmill:46179,https://shopmilltools.com/product/sm-46179/dasqua-granite-surface-plate-model-8500-8050/,2026-09-09T12:24:29Z,123140000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1734,DASQUA,8511-0005,1575000.00,1907000,332000.00,shopmill:34314,https://shopmilltools.com/product/sm-34314/dasqua-universal-cutter-point-angle-gauge-model-8511-0005/,2026-09-09T12:24:29Z,1907000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1735,DASQUA,8511-0010,970000.00,1174000,204000.00,shopmill:34325,https://shopmilltools.com/product/sm-34325/dasqua-drill-grinding-gauge-model-8511-0010/,2026-09-09T12:24:29Z,1174000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1736,DASQUA,8511-0020,2490000.00,3013000,523000.00,shopmill:34571,https://shopmilltools.com/product/sm-34571/dasqua-welding-gauge-model-8511-0020/,2026-09-09T12:24:29Z,3013000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1740,DASQUA,8521-0005,645000.00,785000,140000.00,shopmill:45253,https://shopmilltools.com/product/sm-45253/dasqua-taper-gauge-model-8521-0005/,2026-09-09T12:24:29Z,785000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1741,DASQUA,8521-0010,1455000.00,1760000,305000.00,shopmill:45259,https://shopmilltools.com/product/sm-45259/dasqua-taper-gauge-model-8521-0010/,2026-09-09T12:24:29Z,1760000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1742,DASQUA,8521-0015,1970000.00,2390000,420000.00,shopmill:45273,https://shopmilltools.com/product/sm-45273/dasqua-taper-gauge-model-8521-0015/,2026-09-09T12:24:29Z,2390000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1743,DASQUA,8521-0020,2285000.00,2770000,485000.00,shopmill:45280,https://shopmilltools.com/product/sm-45280/dasqua-taper-gauge-model-8521-0020/,2026-09-09T12:24:29Z,2770000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1744,DASQUA,8530-1005,6950000.00,8410000,1460000.00,shopmill:46735,https://shopmilltools.com/product/sm-46735/dasqua-digital-welding-gauge-model-8530-1005/,2026-09-09T12:24:29Z,8410000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1745,DASQUA,8531-0005,3205000.00,3879000,674000.00,shopmill:34556,https://shopmilltools.com/product/sm-34556/dasqua-welding-gauge-model-8531-0005/,2026-09-09T12:24:29Z,3879000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1747,DASQUA,8561-2010,18700000.00,22630000,3930000.00,shopmill:45606,https://shopmilltools.com/product/sm-45606/dasqua-magnetic-v-block-model-8561-2010/,2026-09-09T12:24:29Z,22630000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1748,DASQUA,8561-2015,9275000.00,11225000,1950000.00,shopmill:45597,https://shopmilltools.com/product/sm-45597/dasqua-magnetic-v-block-model-8561-2015/,2026-09-09T12:24:29Z,11225000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1750,DASQUA,8561-2025,9890000.00,11970000,2080000.00,shopmill:45619,https://shopmilltools.com/product/sm-45619/dasqua-magnetic-induction-v-block-model-8561-2025/,2026-09-09T12:24:29Z,11970000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1752,DASQUA,8561-2035,49360000.00,59730000,10370000.00,shopmill:45674,https://shopmilltools.com/product/sm-45674/dasqua-magnetic-v-block-model-8561-2035/,2026-09-09T12:24:29Z,59730000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1754,DASQUA,8802-5110,15040000.00,18200000,3160000.00,shopmill:45422,https://shopmilltools.com/product/sm-45422/dasqua-precision-toolmakers-vice-screw-guide-type-model-8802-5110/,2026-09-09T12:24:29Z,18200000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1755,DASQUA,8802-5115,20370000.00,24655000,4285000.00,shopmill:45433,https://shopmilltools.com/product/sm-45433/dasqua-precision-toolmakers-vice-screw-guide-type-model-8802-5115/,2026-09-09T12:24:29Z,24655000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1756,DASQUA,8802-5120,38450000.00,46525000,8075000.00,shopmill:45479,https://shopmilltools.com/product/sm-45479/dasqua-precision-toolmakers-vice-screw-guide-type-model-8802-5120/,2026-09-09T12:24:29Z,46525000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1757,DASQUA,8802-5125,74025000.00,89575000,15550000.00,shopmill:45549,https://shopmilltools.com/product/sm-45549/dasqua-precision-toolmakers-vice-screw-guide-type-model-8802-5125/,2026-09-09T12:24:29Z,89575000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1766,DASQUA,9211-3005,37005000.00,44776600,7771600.00,shopmill:35341,https://shopmilltools.com/product/sm-35341/dasqua-granite-square-90-model-9211-3005/,2026-09-09T12:24:29Z,44776600,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1767,DASQUA,9211-3010,55525000.00,67190000,11665000.00,shopmill:46134,https://shopmilltools.com/product/sm-46134/dasqua-granite-square-90-model-9211-3010/,2026-09-09T12:24:29Z,67190000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1768,DASQUA,9211-3015,98685000.00,119410000,20725000.00,shopmill:46140,https://shopmilltools.com/product/sm-46140/dasqua-granite-square-90-model-9211-3015/,2026-09-09T12:24:29Z,119410000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1769,DASQUA,9222-3110,4755000.00,5755000,1000000.00,shopmill:43336,https://shopmilltools.com/product/sm-43336/dasqua-45square-model-9222-3110/,2026-09-09T12:24:29Z,5755000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
