source_pages,extracted_candidate_row,raw_identity,normalized_identity,raw_price,price_unit,proposed_toman_price,confidence,rejected_reason,duplicate_status,manual_review_required,line
11,"TG 2 > 36.5 118,201,600",TG 2 > 36.5,,"118,201,600",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,200
11,"TG 2 > 37 156,988,800",TG 2 > 37,,"156,988,800",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,202
11,"TG 2 > 37.5 156,988,800",TG 2 > 37.5,,"156,988,800",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,203
11,"TG 2 > 38 158,884,000",TG 2 > 38,,"158,884,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,204
11,"TG 2 > 38.5 158,884,000",TG 2 > 38.5,,"158,884,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,205
11,"TG 2 > 39 160,300,800",TG 2 > 39,,"160,300,800",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,206
11,"TG 2 > 39.5 160,300,800",TG 2 > 39.5,,"160,300,800",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,207
11,"TG 2 > 40 165,600,000",TG 2 > 40,,"165,600,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,208
11,"TG 2 > 41 168,801,600",TG 2 > 41,,"168,801,600",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,209
11,"TG 2 > 42 177,780,800",TG 2 > 42,,"177,780,800",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,210
11,"TG 2 > 43 180,632,800",TG 2 > 43,,"180,632,800",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,211
11,"TG 2 > 44 192,924,000",TG 2 > 44,,"192,924,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,212
11,"TG 2 > 45 223,192,000",TG 2 > 45,,"223,192,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,213
11,"TG 2 > 46 226,964,000",TG 2 > 46,,"226,964,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,214
11,"TG 2 > 47 256,753,600",TG 2 > 47,,"256,753,600",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,215
11,"TG 2 > 48 266,689,600",TG 2 > 48,,"266,689,600",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,216
