product_id,sku,current_is_available,proposed_is_available,current_base_price,verified_mitutoyoiran_price,inventory_source,inventory_source_match,price_source,source_retrieved_at,snapshot_sha256,identity_match,content_safety,primary_image_status,expected_current_hash,availability_class,allowed_future_mutation,base_price_change,is_active_change,price_plan_prerequisite,cohort
2175,137-203,false,true,48930000.00,56902500,https://www.mitutoyoiran.com/,137-203,mitutoyoiran:3414,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,d29b27137f015ecb7b1d93b1693be41aac5aedca4ec1ed65f2b240a0e6335671,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2176,137-204,false,true,72290000.00,84065000,https://www.mitutoyoiran.com/,137-204,mitutoyoiran:3415,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,1ecdc287096ca09a5990dfd58b33d55d8846f46eab1de307e7dcc7129dcdbee5,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2177,137-205,false,true,92310000.00,107337500,https://www.mitutoyoiran.com/,137-205,mitutoyoiran:3416,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,9912a5e38f6e8ef2da25ba39c6b7dcc7629007414222867d006a92102523da2e,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2178,123-101,false,true,26890000.00,31272500,https://www.mitutoyoiran.com/,123-101,mitutoyoiran:3417,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,81b8d2b18dbba08480cc587f0d8d69f3f970b5efb3dc1a64e4927e3b222a1771,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2179,115-215,false,true,14910000.00,17340000,https://www.mitutoyoiran.com/,115-215,mitutoyoiran:3418,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,9c8b1642111bbdd08913d9789a31c83372935ca68c4a6451edbed0415d9db10f,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2180,112-153,false,true,24390000.00,28362500,https://www.mitutoyoiran.com/,112-153,mitutoyoiran:3419,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,44a5e2ce902eefc028ac26cc2f574070265c9ec02bbbe836deed1c5d81a0a780,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2190,573-601,false,true,87490000.00,101742500,https://www.mitutoyoiran.com/,573-601,mitutoyoiran:3429,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,5b0e6b2dbaebf1faf3b52f9f4eae25eb3f209765b2c67127e45feb92a3327338,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2197,530-312,false,true,9490000.00,11042500,https://www.mitutoyoiran.com/,530-312,mitutoyoiran:3436,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,58d818123c98474bf867854f8e69690305a40efcb189530e9539d06b22a5d6db,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2198,530-118,false,true,12540000.00,14587500,https://www.mitutoyoiran.com/,530-118,mitutoyoiran:3437,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,a91d99787fb05d74dd9acfed83bba9ccb6cb6c2dd5f79c211d994688d8fef1da,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2199,530-119,false,true,27480000.00,31955000,https://www.mitutoyoiran.com/,530-119,mitutoyoiran:3438,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,1fed16b0e5759bc31804689482f94f92fc9e14acc2e04f381c6c1a49a592d911,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2205,505-732,false,true,20830000.00,24227500,https://www.mitutoyoiran.com/,505-732,mitutoyoiran:3444,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,ccd42809e9031f9ca907fdb03038848b7c6fea74b497c6a81efb5847b6c8cedb,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2207,505-733,false,true,28530000.00,33185000,https://www.mitutoyoiran.com/,505-733,mitutoyoiran:3446,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,38f577e88dc7a8df92c398f480a3de41eec8d63140ed6b8e26146ba65908a632,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2230,1044A,false,true,12830000.00,14925000,https://www.mitutoyoiran.com/,1044A,mitutoyoiran:3469,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_SKU_AND_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,3ef4c303e4958e750e0c4d733d967037d5fdd88c0dcd768b9075a082bf95f336,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2241,543-781,false,true,30840000.00,35862500,https://www.mitutoyoiran.com/,543-781,mitutoyoiran:3480,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,9f8756ba7d06ac2596cce48ab5f7d1cf94de60bb4a47b86ebb048f9c25e1f434,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2242,543-791,false,true,,81535000,https://www.mitutoyoiran.com/,543-791,mitutoyoiran:3481,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_MODEL,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,9d71a5a03eb4c3f725edf7c2a72e13cc2bf57d8d7985440ed6590f93b50da946,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2266,7010S-10,false,true,17250000.00,20065000,https://www.mitutoyoiran.com/,7010S-10,mitutoyoiran:3506,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_SKU,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,9e72a7a83cba2ae5d0c7aca47218ce54ba2c45678355b4ae5fa4f5d4a2102a61,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
2267,7011S-10,false,true,18480000.00,21500000,https://www.mitutoyoiran.com/,7011S-10,mitutoyoiran:3507,2026-09-09T13:20:11Z,079a2a6d73870d59d4a30b1d60e3096c218e0dde81679e46e658edb65a2e071a,EXACT_SKU,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,f6fdd7df945547310149b8dfc822cecd7bb98bc3a7f3dcba4297a9aa3656480d,FALSE_TO_TRUE,is_available,false,false,MITUTOYO_PRICE_PLAN,A_IMAGE_PRESENT
