product_id,site_sku,target_sku,canonical_manufacturer_sku,current_is_available,proposed_is_available,current_base_price,current_is_active,current_image_count,current_deleted_at,target_membership_state,identity_confidence,identity_match_type,authoritative_inventory,authoritative_price_status,media_state,public_fields_state,blocker,reason_for_disable,mutation_scope,price_mutation,active_mutation,snapshot_product_id,snapshot_sku,snapshot_base_price,snapshot_is_available,snapshot_is_active,r1_provenance_kind,r1_rule_id,old_s1_would_disable
1797,1120-300,1120-300,,true,false,14500000.00,false,0,,target_member,low_requires_review,near_or_ambiguous,,invalid_or_missing,missing_or_not_ready,not_ready,unresolved_identity_risk_c,Unresolved Risk C / near-or-ambiguous identity; cannot authorize public sale,is_available_only,none,none,1797,1120-300,14500000.00,true,false,not_resolved_r1,,false
1798,1120-500,1120-500,1120-500,true,false,46990000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1798,1120-500,46990000.00,true,true,not_resolved_r1,,true
1799,1121-150,1121-150,,true,false,15760000.00,true,1,,target_member,low_requires_review,near_or_ambiguous,,invalid_or_missing,ready,not_ready,unresolved_identity_risk_c,Unresolved Risk C / near-or-ambiguous identity; cannot authorize public sale,is_available_only,none,none,1799,1121-150,15760000.00,true,true,not_resolved_r1,,false
1800,1122-300,1122-300,1122-300,true,false,27350000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1800,1122-300,27350000.00,true,true,not_resolved_r1,,true
1801,1123-150,1123-150,1123-150A,true,false,14270000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1801,1123-150,14270000.00,true,true,individually_proven_batch,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1803,1135-601,1135-601,1135-601,true,false,32380000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1803,1135-601,32380000.00,true,true,not_resolved_r1,,true
1804,1136-501,1136-501,1136-501,true,false,25330000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1804,1136-501,25330000.00,true,true,not_resolved_r1,,true
1805,1136-502,1136-502,1136-502,true,false,41130000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1805,1136-502,41130000.00,true,true,not_resolved_r1,,true
1806,1136-503,1136-503,1136-503,true,false,50990000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1806,1136-503,50990000.00,true,true,not_resolved_r1,,true
1807,1136-601,1136-601,1136-601,true,false,33110000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1807,1136-601,33110000.00,true,true,not_resolved_r1,,true
1808,1140-100,1140-100,1140-100,true,false,14640000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1808,1140-100,14640000.00,true,true,not_resolved_r1,,true
1809,1140-150,1140-150,1140-150,true,false,17230000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1809,1140-150,17230000.00,true,true,not_resolved_r1,,true
1810,1141-150,1141-150,1141-150A,true,false,7440000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,موجود,valid,missing_or_not_ready,not_ready,not_active,Product is not active; cannot remain publicly available under public-sale gate,is_available_only,none,none,1810,1141-150,7440000.00,true,false,individually_proven_batch,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,false
1811,1141-200,1141-200,1141-200A,true,false,8970000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,missing_or_not_ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1811,1141-200,8970000.00,true,false,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1812,1141-300,1141-300,1141-300A,true,false,18570000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,missing_or_not_ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1812,1141-300,18570000.00,true,false,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1813,1141-500,1141-500,1141-500A,true,false,29940000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,missing_or_not_ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1813,1141-500,29940000.00,true,false,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1814,1142-150,1142-150,1142-150A,true,false,8540000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1814,1142-150,8540000.00,true,true,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1815,1142-200,1142-200,1142-200A,true,false,10440000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,missing_or_not_ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1815,1142-200,10440000.00,true,false,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1816,1142-300,1142-300,1142-300A,true,false,20580000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,missing_or_not_ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1816,1142-300,20580000.00,true,false,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1817,1144-150,1144-150,1144-150A,true,false,9090000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1817,1144-150,9090000.00,true,true,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1818,1144-200,1144-200,1144-200A,true,false,10750000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,missing_or_not_ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1818,1144-200,10750000.00,true,false,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1819,1144-300,1144-300,1144-300A,true,false,21320000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,missing_or_not_ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1819,1144-300,21320000.00,true,false,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1822,1150-600,1150-600,1150-600,true,false,41710000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1822,1150-600,41710000.00,true,true,not_resolved_r1,,true
1823,1151-300,1151-300,,true,false,44500000.00,true,1,,target_member,low_requires_review,near_or_ambiguous,,invalid_or_missing,ready,not_ready,unresolved_identity_risk_c,Unresolved Risk C / near-or-ambiguous identity; cannot authorize public sale,is_available_only,none,none,1823,1151-300,44500000.00,true,true,not_resolved_r1,,false
1824,1151-600,1151-600,,true,false,69140000.00,false,0,,target_member,low_requires_review,near_or_ambiguous,,invalid_or_missing,missing_or_not_ready,not_ready,unresolved_identity_risk_c,Unresolved Risk C / near-or-ambiguous identity; cannot authorize public sale,is_available_only,none,none,1824,1151-600,69140000.00,true,false,not_resolved_r1,,false
1825,1156-300,1156-300,1156-300,true,false,31170000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1825,1156-300,31170000.00,true,true,not_resolved_r1,,true
1826,1156-600,1156-600,1156-600,true,false,47400000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1826,1156-600,47400000.00,true,true,not_resolved_r1,,true
1827,1161-150,1161-150,1161-150A,true,false,14480000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1827,1161-150,14480000.00,true,true,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1828,1169-150,1169-150,1169-150,true,false,8370000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1828,1169-150,8370000.00,true,true,not_resolved_r1,,true
1829,1170-300,1170-300,1170-300,true,false,27600000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1829,1170-300,27600000.00,true,true,not_resolved_r1,,true
1830,1172-200,1172-200,1172-200,true,false,27080000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1830,1172-200,27080000.00,true,true,not_resolved_r1,,true
1832,1176-200,1176-200,1176-200,true,false,22480000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1832,1176-200,22480000.00,true,true,not_resolved_r1,,true
1833,1178-300,1178-300,1178-300,true,false,28000000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1833,1178-300,28000000.00,true,true,not_resolved_r1,,true
1834,1183-150,1183-150,1183-150A,true,false,8320000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1834,1183-150,8320000.00,true,true,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1835,1185-150,1185-150,1185-150A,true,false,11090000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1835,1185-150,11090000.00,true,true,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1836,1186-150,1186-150,1186-150A,true,false,17680000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1836,1186-150,17680000.00,true,true,individually_proven_batch,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1837,1186-200,1186-200,1186-200A,true,false,23680000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,missing_or_not_ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1837,1186-200,23680000.00,true,false,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1838,1186-300,1186-300,1186-300A,true,false,30990000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,missing_or_not_ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1838,1186-300,30990000.00,true,false,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1839,1187-150,1187-150,1187-150A,true,false,10060000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1839,1187-150,10060000.00,true,true,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
1840,1188-150,1188-150,1188-150A,true,false,8790000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1840,1188-150,8790000.00,true,true,rule_derived,INSIZE_AWL_BUILTIN_WIRELESS_DISTINCT_FROM_A,true
3468,1201-1003,1201-1003,1201-1003,true,false,3480000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,3468,1201-1003,3480000.00,true,true,not_resolved_r1,,true
3470,1205-1502,1205-1502,1205-1502S,true,false,4530000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,موجود,valid,ready,not_ready,required_public_fields_not_ready,Required public structural fields not ready (name/slug/brand/category/required_fields_ready),is_available_only,none,none,3470,1205-1502,4530000.00,true,true,individually_proven_batch,INSIZE_1205_MEMBERSHIP_OMITS_TRAILING_S,false
3472,1205-2002,1205-2002,1205-2002S,true,false,6870000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,موجود,valid,missing_or_not_ready,not_ready,not_active,Product is not active; cannot remain publicly available under public-sale gate,is_available_only,none,none,3472,1205-2002,6870000.00,true,false,individually_proven_batch,INSIZE_1205_MEMBERSHIP_OMITS_TRAILING_S,false
3907,1205-300S,1205-300S,1205-300S,true,false,11520000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,3907,1205-300S,11520000.00,true,true,not_resolved_r1,,true
1842,1208-511,1208-511,1208-511,true,false,17850000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1842,1208-511,17850000.00,true,true,not_resolved_r1,,true
1843,1208-524,1208-524,1208-524,true,false,21760000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1843,1208-524,21760000.00,true,true,not_resolved_r1,,true
1844,1208-824,1208-824,1208-824,true,false,48460000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1844,1208-824,48460000.00,true,true,not_resolved_r1,,true
1847,1215-1032,1215-1032,1215-1032,true,false,109350000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1847,1215-1032,109350000.00,true,true,not_resolved_r1,,true
1848,1215-1052,1215-1052,1215-1052,true,false,100260000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1848,1215-1052,100260000.00,true,true,not_resolved_r1,,true
1849,1215-322,1215-322,1215-322,true,false,14340000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1849,1215-322,14340000.00,true,true,not_resolved_r1,,true
