product_id,sku,current_is_available,proposed_is_available,current_base_price,verified_shopmill_price,inventory_source,inventory_source_match,shopmill_source,shopmill_retrieved_at,shopmill_snapshot_sha256,identity_match,content_safety,primary_image_status,expected_current_hash,availability_class,allowed_future_mutation,base_price_change,is_active_change,price_plan_prerequisite,cohort
1299,3230-8105,false,true,67855000.00,82106000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,3230-8105,shopmill:33432,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,84e33160be04c4e2234bee51f7d8ddbf438b036fb0c69d6a17ad739ec93d11c3,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1314,4111-8105,false,true,3105000.00,3758000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4111-8105,shopmill:33516,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_SKU,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,551cc4c622da0a2f11b56cc788c4b70737520910357f22981f31de975c98c48b,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1354,4210-2135,false,true,19350000.00,23415000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4210-2135,shopmill:38864,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,de4ad8bcbcbf26813e1fb132579fe5d161d32ff3c73fc809a2daeaf45cd14c45,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1355,4210-2140,false,true,21395000.00,25890000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4210-2140,shopmill:38884,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,92a3fdf2bc5162bec7b86fd5f5b885e3e9978eb6e9640cfffd7a3e697c22d3e6,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1356,4210-2145,false,true,32285000.00,39070000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4210-2145,shopmill:38893,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,55525ca25d083e25824158bdc79ed837779c66e56db4d30ef1b0caeb58a36609,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1357,4210-2150,false,true,34965000.00,42315000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4210-2150,shopmill:38906,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,a436a7655149af495c642448f8a531c316c046fc55c64c30fe37661086b284a3,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1358,4210-2155,false,true,36605000.00,44295000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4210-2155,shopmill:39013,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,b0e7deee9098b3eb8d573e41577c2d8b465252c9fce9bb2008b9242e7458530c,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1359,4210-2160,false,true,38875000.00,47045000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4210-2160,shopmill:39022,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,ee73e4d9a410289efcd57bdfd6262e8e11ac9bb0367fb4f9dbdeb1cef8dacb08,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1363,4230-2005,false,true,8360000.00,10116000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4230-2005,shopmill:33611,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_SKU,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,7dd8916d7bd83991238aa3d61c6881e3c6c948e09866342201549b5da22f3b63,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1380,4410-1105,false,true,12970000.00,15694000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4410-1105,shopmill:33680,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,3e2282f5de50d0d430ba2e54cb0fae843307c5c8b7607ad31767e0e311b038cd,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
