id,sku,normalized_sku,current_brand,current_base_price,proposed_base_price,base_price_change,current_is_available,proposed_is_available,is_available_change,current_is_active,proposed_is_active,is_active_change,image_count,primary_image_url,media_ready,commerce_ready,public_sell_ready,reconciliation_state,source_product,source_price,source_inventory,inventory_status,inclusion_reasons,target_provenance
1820,1150-300,1150-300,INSIZE | اینسایز,44880000.00,53750000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1820/cc91b722d68157f5.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
1821,1150-500,1150-500,INSIZE | اینسایز,66390000.00,79500000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1821/cc91b722d68157f5.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
1831,1176-150,1176-150,INSIZE | اینسایز,38400000.00,46000000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1831/41583867a961bb9e.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
1841,1196-300,1196-300,INSIZE | اینسایز,18780000.00,22400000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1841/cf1723b8e4a25af3.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
3633,1203-1003,1203-1003,INSIZE | اینسایز,5070000.00,6050000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/3633/5d1105aa7761c199.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
3905,1205-200S,1205-200S,INSIZE | اینسایز,6870000.00,8200000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/3905/caef02642a0bd97e.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
1845,1214-500,1214-500,INSIZE | اینسایز,23430000.00,28000000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1845/a9004d3e9fc437ff.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
1846,1214-600,1214-600,INSIZE | اینسایز,25770000.00,30750000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1846/a9004d3e9fc437ff.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
3578,1240-1501,1240-1501,INSIZE | اینسایز,5490000.00,6575000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/3578/3017346b17a228ce.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
3580,1240-2001,1240-2001,INSIZE | اینسایز,5430000.00,6500000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/3580/3017346b17a228ce.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
