brand,sku,normalized_sku,product_family,target_member,source_scope,source_product,source_price,source_inventory,source_catalog,source_media,price_source_value,price_source_currency,price_conversion,markup_note,base_price_toman,inventory_status,commerce_ready,media_ready,parser_confidence,match_confidence,review_reason,reconciliation_state,current_id,current_slug,provenance
INSIZE,1115-150,1115-150,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,,,none,none,,نا موجود,false,false,high,none,missing_price;site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1115-200,1115-200,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,,,none,none,,نا موجود,false,false,high,none,missing_price;site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1115-300,1115-300,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,,,none,none,,نا موجود,false,false,high,none,missing_price;site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1110-150A,1110-150A,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,317500000,rial,rial_div_10,rial_div_10,31750000,موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1110-300A,1110-300A,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,530000000,rial,rial_div_10,rial_div_10,53000000,موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1170-300,1170-300,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,330000000,rial,rial_div_10,rial_div_10,33000000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-301,1106-301,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,555000000,rial,rial_div_10,rial_div_10,55500000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-302,1106-302,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,617500000,rial,rial_div_10,rial_div_10,61750000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-501,1106-501,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,400000000,rial,rial_div_10,rial_div_10,40000000,موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-601,1106-601,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,447500000,rial,rial_div_10,rial_div_10,44750000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-502,1106-502,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,852500000,rial,rial_div_10,rial_div_10,85250000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-503,1106-503,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,1132500000,rial,rial_div_10,rial_div_10,113250000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-505,1106-505,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,1575000000,rial,rial_div_10,rial_div_10,157500000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-602,1106-602,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,1142500000,rial,rial_div_10,rial_div_10,114250000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-603,1106-603,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,1372500000,rial,rial_div_10,rial_div_10,137250000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-802,1106-802,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,1352500000,rial,rial_div_10,rial_div_10,135250000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-1002,1106-1002,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,1097500000,rial,rial_div_10,rial_div_10,109750000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
INSIZE,1106-1005,1106-1005,measurement,true,product_scope,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,,,3477500000,rial,rial_div_10,rial_div_10,347750000,نا موجود,false,false,high,none,site_evidence_unavailable,REVIEW,,,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
