sha256_original,output_path,post_detected,post_confidence,remaining_logo_yellow,verification_status,product_count
267d41f8936cd21d8b81eaeaa6a1a7b200eab60f0fd31aae227a00fb896500cc,/var/tmp/karzar-shopmill-cleanup/repaired_assets/267d41f8936cd21d8b81eaeaa6a1a7b200eab60f0fd31aae227a00fb896500cc.png,False,none,0,clean,2
28236a1fa83bd7a29fd719df057e6e89e21adc89a7adf91c5f05dd9f2e332a1c,/var/tmp/karzar-shopmill-cleanup/repaired_assets/28236a1fa83bd7a29fd719df057e6e89e21adc89a7adf91c5f05dd9f2e332a1c.jpg,False,none,0,clean,1
28af61865b7b73578b0d48c5ebe569ff47f1dbf7e97a8ffc2c05ecdd72d52cf5,/var/tmp/karzar-shopmill-cleanup/repaired_assets/28af61865b7b73578b0d48c5ebe569ff47f1dbf7e97a8ffc2c05ecdd72d52cf5.png,False,none,0,clean,1
2934457a440393a3c270104829b4e29741d44957ed277dd3d324a76115b4a81b,/var/tmp/karzar-shopmill-cleanup/repaired_assets/2934457a440393a3c270104829b4e29741d44957ed277dd3d324a76115b4a81b.png,False,none,0,clean,1
29a9af411f0447e3a303be43446b026003c5c482ab8abb27c6c90e3bf8a216ea,/var/tmp/karzar-shopmill-cleanup/repaired_assets/29a9af411f0447e3a303be43446b026003c5c482ab8abb27c6c90e3bf8a216ea.png,False,none,0,clean,5
2c8ff37a3516c61c3da630b65fed647f00cb5393f5f5f60a76347a791458e206,/var/tmp/karzar-shopmill-cleanup/repaired_assets/2c8ff37a3516c61c3da630b65fed647f00cb5393f5f5f60a76347a791458e206.png,False,none,0,clean,1
2c917274d863a02e8abbcef9deddb1a7a3defa3b9ec178716fd4d418384f7765,/var/tmp/karzar-shopmill-cleanup/repaired_assets/2c917274d863a02e8abbcef9deddb1a7a3defa3b9ec178716fd4d418384f7765.jpg,False,none,0,clean,1
2d57b678c5544e88162bf43b5fa0890f7d8166bceb34e9aaf9db9debcb692598,/var/tmp/karzar-shopmill-cleanup/repaired_assets/2d57b678c5544e88162bf43b5fa0890f7d8166bceb34e9aaf9db9debcb692598.png,False,none,0,clean,1
2d95ada70f1ead7858bc2e6b6d22241ecd7c4f1b07050a1aa47ef120171c44b0,/var/tmp/karzar-shopmill-cleanup/repaired_assets/2d95ada70f1ead7858bc2e6b6d22241ecd7c4f1b07050a1aa47ef120171c44b0.png,False,none,0,clean,2
2ea98a76f244977581361612e736b9646311a5b15191594ba1d38f8839fd0ae3,/var/tmp/karzar-shopmill-cleanup/repaired_assets/2ea98a76f244977581361612e736b9646311a5b15191594ba1d38f8839fd0ae3.png,False,none,0,clean,1
2eb06385141f303bd71391a2357311f5056801aace771f59f0404edd5069f75b,/var/tmp/karzar-shopmill-cleanup/repaired_assets/2eb06385141f303bd71391a2357311f5056801aace771f59f0404edd5069f75b.png,False,none,0,clean,1
320ba3295d7efa8245132072974109eb1942c2033ef3a2f9418c4ee5b0e8ffa9,/var/tmp/karzar-shopmill-cleanup/repaired_assets/320ba3295d7efa8245132072974109eb1942c2033ef3a2f9418c4ee5b0e8ffa9.png,False,none,0,clean,2
322104d241aecaa2fae5f97d7bbb79ea459faa4165bb78494b687cafe54840d6,/var/tmp/karzar-shopmill-cleanup/repaired_assets/322104d241aecaa2fae5f97d7bbb79ea459faa4165bb78494b687cafe54840d6.png,False,none,0,clean,4
33dba09e70bd06849e69a0a80d1eb6b3684ac0f261148fbc79fa70f404ee5e60,/var/tmp/karzar-shopmill-cleanup/repaired_assets/33dba09e70bd06849e69a0a80d1eb6b3684ac0f261148fbc79fa70f404ee5e60.png,False,none,0,clean,1
3425d1cb39ec5528e9d47c0352d37116d1760afb761ce36f8b3bd0b1918a9ed5,/var/tmp/karzar-shopmill-cleanup/repaired_assets/3425d1cb39ec5528e9d47c0352d37116d1760afb761ce36f8b3bd0b1918a9ed5.png,False,none,0,clean,1
3495e565d83bab3b46503b32717789e61fb8193459a88a7af07acc26787138f7,/var/tmp/karzar-shopmill-cleanup/repaired_assets/3495e565d83bab3b46503b32717789e61fb8193459a88a7af07acc26787138f7.png,False,none,0,clean,1
357f3f7286e117b82879a05f6dd2ede72fc8dd1116de2a54c80978ba53708ba3,/var/tmp/karzar-shopmill-cleanup/repaired_assets/357f3f7286e117b82879a05f6dd2ede72fc8dd1116de2a54c80978ba53708ba3.jpg,False,none,0,clean,1
37e87fcbbd9564d17c4b22f91570814db1bd5f4660eab084f0473a1d213c83e4,/var/tmp/karzar-shopmill-cleanup/repaired_assets/37e87fcbbd9564d17c4b22f91570814db1bd5f4660eab084f0473a1d213c83e4.png,False,none,0,clean,1
3b81a1e3948a398313d0f4bd64021163f7e176e72c64375878faaa69951b8f0c,/var/tmp/karzar-shopmill-cleanup/repaired_assets/3b81a1e3948a398313d0f4bd64021163f7e176e72c64375878faaa69951b8f0c.jpg,False,none,0,clean,1
3c73cc6776954a724340eafedb9f3578299cfd1284b0b7f08748bf1d9f974d19,/var/tmp/karzar-shopmill-cleanup/repaired_assets/3c73cc6776954a724340eafedb9f3578299cfd1284b0b7f08748bf1d9f974d19.png,False,none,0,clean,1
3e07de23eecc0aae2b0d796e041c54315552d6bd96399facb6441709a12a144d,/var/tmp/karzar-shopmill-cleanup/repaired_assets/3e07de23eecc0aae2b0d796e041c54315552d6bd96399facb6441709a12a144d.png,False,none,0,clean,1
4171985027b8452c22f0f1794b4ffb1b517a43b2ffbe852fa1ba75d632921be0,/var/tmp/karzar-shopmill-cleanup/repaired_assets/4171985027b8452c22f0f1794b4ffb1b517a43b2ffbe852fa1ba75d632921be0.png,False,none,0,clean,1
444f6866d7fbc73d413c8c21b8c172df303108c8e5a5b8e81dfd42f88091c2aa,/var/tmp/karzar-shopmill-cleanup/repaired_assets/444f6866d7fbc73d413c8c21b8c172df303108c8e5a5b8e81dfd42f88091c2aa.png,False,none,0,clean,1
486bca61284e8d54712ea12ef311ba7252c20a7c9b59e06824ef8126c5043943,/var/tmp/karzar-shopmill-cleanup/repaired_assets/486bca61284e8d54712ea12ef311ba7252c20a7c9b59e06824ef8126c5043943.jpg,False,none,0,clean,2
4871ceae8db43c1343de3fb1449b532783ed81375fab01be2c20a16fd40902ce,/var/tmp/karzar-shopmill-cleanup/repaired_assets/4871ceae8db43c1343de3fb1449b532783ed81375fab01be2c20a16fd40902ce.png,False,none,0,clean,3
4ae8ddc2df4a82101e17b6b6bb1d3c552e0b16960b0469c8524ec5c57c3c8375,/var/tmp/karzar-shopmill-cleanup/repaired_assets/4ae8ddc2df4a82101e17b6b6bb1d3c552e0b16960b0469c8524ec5c57c3c8375.png,False,none,0,clean,1
4f2e7f3a59b54bb60e541dc8ab9d344a4f795acd9479e1288df417f6264f99e7,/var/tmp/karzar-shopmill-cleanup/repaired_assets/4f2e7f3a59b54bb60e541dc8ab9d344a4f795acd9479e1288df417f6264f99e7.png,False,none,0,clean,1
50958417d10549a5db017222ce23f7223fc4dcc4511f695cf39c27ebec8ab8a8,/var/tmp/karzar-shopmill-cleanup/repaired_assets/50958417d10549a5db017222ce23f7223fc4dcc4511f695cf39c27ebec8ab8a8.jpg,False,none,0,clean,3
514c7f5543979716359f910abb44fa922cb6403297c2b78247c9be4a35875730,/var/tmp/karzar-shopmill-cleanup/repaired_assets/514c7f5543979716359f910abb44fa922cb6403297c2b78247c9be4a35875730.png,False,none,0,clean,2
5334e7096915bc763289771e351ce746b0bed236e29e611d1c7b513816273106,/var/tmp/karzar-shopmill-cleanup/repaired_assets/5334e7096915bc763289771e351ce746b0bed236e29e611d1c7b513816273106.jpg,False,none,0,clean,2
53d7bb1c87376841f6c79ec599b5a91a3d7cc55d4c30ca4da105a132e9f14095,/var/tmp/karzar-shopmill-cleanup/repaired_assets/53d7bb1c87376841f6c79ec599b5a91a3d7cc55d4c30ca4da105a132e9f14095.png,False,none,0,clean,3
5456095d928548dea143f4b7a7de2f13cbde64432742b63318550dde1e91e30b,/var/tmp/karzar-shopmill-cleanup/repaired_assets/5456095d928548dea143f4b7a7de2f13cbde64432742b63318550dde1e91e30b.png,False,none,0,clean,3
5529fc26c04383a0380bf506554f97b5868cdc3d0f386a9e56bbb1e58fbbc555,/var/tmp/karzar-shopmill-cleanup/repaired_assets/5529fc26c04383a0380bf506554f97b5868cdc3d0f386a9e56bbb1e58fbbc555.jpg,False,none,0,clean,1
