product_id,sku,product_slug,product_name,brand_name,image_id,sha256_original,image_url_original,mapped_local_relative_path,preview_path,remediation_method,replacement_source,output_path,sha256_final,width,height,remaining_logo_yellow,remediation_ok,reason,verification_status
1381,4410-1110,4410-1110,میکرومیخارج دیجیتال دسته فلزی ضد آب ( IP65سه دکمه) — 0-1110mm,Dasqua | داسکوا,1680,004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49,https://api.karzartools.com/static/uploads/products/1381/ccf450829e6da6ce.webp,1381/ccf450829e6da6ce.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,aa3a71c5bce2adc18427a089ff1d0215ea02b3531e88d6ba519e9f16206fa03a,1500,1500,0,True,,clean
1382,4410-1115,4410-1115,میکرومیخارج دیجیتال دسته فلزی ضد آب ( IP65سه دکمه) — 0-75mm/2-3,Dasqua | داسکوا,1681,004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49,https://api.karzartools.com/static/uploads/products/1382/3dade6652c17e109.webp,1382/3dade6652c17e109.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,aa3a71c5bce2adc18427a089ff1d0215ea02b3531e88d6ba519e9f16206fa03a,1500,1500,0,True,,clean
1383,4410-1120,4410-1120,میکرومی خارج — 0-1120mm,Dasqua | داسکوا,1682,004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49,https://api.karzartools.com/static/uploads/products/1383/d37cfd755b6a0ae2.webp,1383/d37cfd755b6a0ae2.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-batch-002/previews/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/004a72b3bcafacc1d380911f7a4e9db0a641718a1de61a2812602c03cedb8b49.jpg,aa3a71c5bce2adc18427a089ff1d0215ea02b3531e88d6ba519e9f16206fa03a,1500,1500,0,True,,clean
3258,AST-F14,دستگاه-فرز-تیز-کن-کف-ast-f14,دستگاه فرز تیز کن کف AST-F14,ASTPOWER | ای اس تی پاور,1532,018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447,https://api.karzartools.com/static/uploads/products/3258/6defac5715f1fd40.webp,3258/6defac5715f1fd40.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447.jpg,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447.jpg,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/018c4c19cec920cc73b075d3a370aa3e337bdef561adc3fc7d6cfef1b652c447.jpg,affc36f67dbe86f405f752887f3026ce8aec1a0ad6f5c36aaf11b27c54402f1d,1500,1500,0,True,,clean
4522,IDE111M-50,ساعت-اندیکاتوردیجیتال-کورس-50دقت-0001-ترما-terma-مدل-ide111m-50,ساعت اندیکاتوردیجیتال کورس 50دقت 0.001 ترما (TERMA) مدل IDE111M-50,TERMA | ترما,1330,02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635,https://api.karzartools.com/static/uploads/products/4522/29c7b4f4d976b52b.webp,4522/29c7b4f4d976b52b.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635.png,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/02aa1573a272164ff3f1bf51e7251c50267b9231393bb512300e5d05bc223635.png,e630a62ef31bd1050771124c41bca67231af6a57b2e965038c5d4961f0c440ab,1600,1600,0,True,,clean
3351,AST-COR355P,دستگاه-کرگیری-355-پرومکس-کردریل-core-drill,دستگاه کُرگیری 355 پرومکس – (کُردریل – CORE DRILL),ASTPOWER | ای اس تی پاور,1558,05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b,https://api.karzartools.com/static/uploads/products/3351/473355481a4001b9.webp,3351/473355481a4001b9.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b.png,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/05975760897e0f083b5a91486c451ff7e79b23b294ed680ab5d1f39c72f5291b.png,9b449118dbcd64444d92828e31c9507ab50634e726123f4578f70d9251a3422e,1500,1500,0,True,,clean
4657,TD230B,ضخامت-سنج-دیجییتال-0-150خارج-سنج-ترما-terma-مدل-td230b,ضخامت سنج دیجییتال 0-150خارج سنج ترما (TERMA) مدل TD230B,TERMA | ترما,1436,07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f,https://api.karzartools.com/static/uploads/products/4657/f9fa8e4d770a053c.webp,4657/f9fa8e4d770a053c.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f.png,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/07c198068ca0f3075c0e8f3535aed6161c520261d64c74a85d408442ad0cea9f.png,478a7136821c81020ceecdf701dd9a7ec587d8057f010a0ca3ba6b562a31fb9f,1600,1600,0,True,,clean
1487,4911-8115,4911-8115,میکرومی داخل سنج دو فک 3 — 0-75mm,Dasqua | داسکوا,1683,094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178,https://api.karzartools.com/static/uploads/products/1487/2f9035b5b010835f.webp,1487/2f9035b5b010835f.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178.png,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/094d7e3827fbf3bc6e2fe5303b7fc34ef85dea8a055b19a60ef2325c04e59178.png,9274c2761a689715f57a8b72877b8c3470e87e7d5adf07f2e8483a4a4a554a11,1500,1500,0,True,,clean
6586,AST-COR205P,مدل-ast-cor205p,مدل AST-COR205P,ASTPOWER | ای اس تی پاور,1671,0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e,https://api.karzartools.com/static/uploads/products/6586/17ff947ff94246b1.webp,6586/17ff947ff94246b1.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e.png,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/0f0d1b9d9d1ce7011bbbf913f76b097aed4200a8e16c5754487f1c84cdce0e9e.png,2f12db95b7f4ba0a4b5368e77be3f95d24b9ccf52335ee9ec386594e346968a5,1500,1500,0,True,,clean
3355,TU-TCOR255,دستگاه-کرگیری-255-توربوکات-کردریل-core-drill,دستگاه کُرگیری 255 توربوکات – (کُردریل – CORE DRILL),ASTPOWER | ای اس تی پاور,1562,0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911,https://api.karzartools.com/static/uploads/products/3355/5b97a95a002daac6.webp,3355/5b97a95a002daac6.webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911.png,method_c_bbox_fill,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911.png,/home/moahmmad/Projects/Karzar/.local-rescue/shopmill-watermark-cleanup/repaired_assets/0fbf4cdefb4d45ae0bcf833d2c729b927ec6a5190dd9aec85f589ab2e7cbb911.png,108f45ceb3d2f5d440671d59092b16cb48897812d84d64c5b3bc43f9face6eec,1500,1500,0,True,,clean
