product_id,sku,product_slug,product_name,brand_name,category_name,product_is_active,product_deleted,product_is_available,image_count
1568,5511-1135,5511-1135,ساعت با پراپ های گیج داخل سیلندر — 0-250mm,Dasqua | داسکوا,ساعت اندیکاتور,True,False,True,1
1569,5511-1140,5511-1140,گیج داخل سیلندر ساعت — 0-450mm,Dasqua | داسکوا,ساعت اندیکاتور,True,False,True,1
1570,5511-2105,5511-2105,گیج داخل سیلندر با پراپ های,Dasqua | داسکوا,گیج داخل سیلندر,True,False,True,1
1571,5511-2110,5511-2110,گیج داخل سیلندر با پراپ های — 0-18mm,Dasqua | داسکوا,گیج داخل سیلندر,True,False,True,1
1572,5511-2115,5511-2115,گیج داخل سیلندر با پراپ های,Dasqua | داسکوا,گیج داخل سیلندر,True,False,True,1
1573,5511-2120,5511-2120,گیج داخل سیلندر با پراپ های,Dasqua | داسکوا,گیج داخل سیلندر,True,False,True,1
1574,5511-2130,5511-2130,گیج داخل سیلندر با پراپ های — 0-160mm,Dasqua | داسکوا,گیج داخل سیلندر,True,False,True,1
1614,5911-0002,5911-0002,گیج داخل تلسکون — 0-20mm,Dasqua | داسکوا,انواع گیج,True,False,True,1
1622,6111-1247,6111-1247,جعبه راپورتر (گیج بلوک) — 0-1247mm,Dasqua | داسکوا,راپورتر(گیج بلوک-گیج بلاک),True,False,True,1
1680,7121-0025,7121-0025,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک) — 0-25mm,Dasqua | داسکوا,ساعت اندیکاتور,True,False,True,1
1701,8203-0010,8203-0010,سختی‌سنج شور داسکوا 0-100mm کد 8203-0010,Dasqua | داسکوا,سختی سنج لاستیک,True,False,True,1
1771,0110-1125,0110-1125,بادسنج اینسایز (Insize) مدل 1125-0110,INSIZE | اینسایز,متر,True,False,True,1
1772,1103-150,1103-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر مدل 150-1103,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1773,1103-200,1103-200,کولیس دیجیتال اینسایز (Insize) 20 سانتی متر مدل 200-1103,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1774,1103-300,1103-300,کولیس دیجیتال اینسایز (Insize) 30 سانتی متر مدل 300-1103,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1775,1106-301,1106-301,کولیس دیجیتال اینسایز (Insize) 30 سانتی‌ متری فک بلند مدل 301-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1776,1106-302,1106-302,کولیس دیجیتال اینسایز (Insize) 30 سانتی متر فک بلند مدل 302-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1777,1106-501,1106-501,کولیس دیجیتال اینسایز (Insize) 50 سانتی متر مدل 501-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1778,1106-502,1106-502,کولیس دیجیتال اینسایز(insize) 50 سانتی متر فک بلند 15 سانت مدل 502-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1779,1106-503,1106-503,کولیس دیجیتال اینسایز (Insize) 50 سانتی متر فک بلند 20 سانت مدل 503-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1780,1106-505,1106-505,کولیس دیجیتال اینسایز (Insize) 50 سانتی متر فک بلند 30 سانت مدل 505-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1781,1106-601,1106-601,کولیس دیجیتال اینسایز (Insize) 60 سانتی متر مدل 601-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1782,1106-602,1106-602,کولیس دیجیتال اینسایز (Insize) 60 سانتی متر فک بلند 15 سانت مدل 602-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1783,1106-603,1106-603,کولیس دیجیتال اینسایز (Insize) 60 سانتی متر فک بلند 20 سانت مدل 603-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1784,1106-802,1106-802,کولیس دیجیتال اینسایز (Insize) 80 سانتی متر فک بلند 15 سانت مدل 802-1106,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1785,1108-150,1108-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر مدل 150-1108,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1786,1108-200,1108-200,کولیس دیجیتال اینسایز (Insize) 20 سانتی متر مدل 200-1108,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1787,1108-300,1108-300,کولیس دیجیتال اینسایز (insize) 30 سانتی متر مدل 300-1108,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1788,1111-100,1111-100,کولیس دیجیتال 10 سانتی متری اینسایز (Insize) مدل 100-1111,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1789,1114-150,1114-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر فلزی (متال) مدل 150-1114,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1795,1120-150,1120-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر شیارسنج مدل 150-1120,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1798,1120-500,1120-500,کولیس داخل دیجیتال اینسایز (Insize) 50 سانت مدل 500-1120,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1799,1121-150,1121-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر داخل سنج مدل150-1121,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1800,1122-300,1122-300,کولیس دیجیتال شیار اینسایز( Insize) 30 سانتی متر مدل 300-1122,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1801,1123-150,1123-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر داخل سنج فک چاقویی مدل 150-1123,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1803,1135-601,1135-601,کولیس دیجیتال اینسایز (Insize) 60 سانتی متر دو فک مدل 601-1135,INSIZE | اینسایز,متر,True,False,True,1
1804,1136-501,1136-501,کولیس دیجیتال اینسایز (Insize) 50 سانتی متر دو فک مدل 501-1136,INSIZE | اینسایز,متر,True,False,True,1
1805,1136-502,1136-502,کولیس دیجیتال اینسایز (Insize) دو فک 50 سانت فک 15 سانت مدل 502-1136,INSIZE | اینسایز,متر,True,False,True,1
1806,1136-503,1136-503,کولیس دیجیتال اینسایز (Insize) دو فک 50 سانت فک 20 سانت مدل 503-1136,INSIZE | اینسایز,متر,True,False,True,1
1807,1136-601,1136-601,کولیس دو فک اینسایز (Insize) دیجیتال 60 سانتی متر مدل 601-1136,INSIZE | اینسایز,متر,True,False,True,1
1808,1140-100,1140-100,عمق سنج دیجیتال اینسایز (Insize) 10 سانت با میله گرد مدل 100-1140,INSIZE | اینسایز,عمق سنج,True,False,True,1
1809,1140-150,1140-150,عمق سنج دیجیتال اینسایز (Insize) 15 سانت با میله گرد مدل 150-1140,INSIZE | اینسایز,عمق سنج,True,False,True,1
1814,1142-150,1142-150,عمق سنج لبه دار اینسایز (Insize) 15 سانت مدل 150-1142,INSIZE | اینسایز,عمق سنج,True,False,True,1
1817,1144-150,1144-150,عمق سنج لبه دار دو طرفه اینسایز (Insize) 15 سانت مدل 150-1144,INSIZE | اینسایز,عمق سنج,True,False,True,1
1820,1150-300,1150-300,کولیس دیجیتال 30 سانتی پایه دار اینسایز (Insize) مدل 300-1150,INSIZE | اینسایز,انواع کولیس,True,False,True,1
