product_id,sku,product_slug,product_name,brand_name,product_is_active,product_deleted,product_is_available,image_id,image_url,mapped_local_relative_path,image_role,is_primary,display_order,sha256,width,height,byte_size,mime_type,preview_path,source_system,hr_watermark_status,hr_asset_decision,hr_batch_id,hr_notes,auto_detected,auto_confidence,auto_mode,auto_bbox,detection_result
1518,5223-3105,5223-3105,ساعت شیطانیک بدنه ضد مگنت,Dasqua | داسکوا,True,False,True,1684,https://api.karzartools.com/static/uploads/products/1518/a9e0b9bad6fd8410.webp,1518/a9e0b9bad6fd8410.webp,primary,True,0,ab0bb088e57e68eac1513901123b4939787450c38ce39dbfa4b31bc5537b716f,1500,1500,42230,image/webp,/var/tmp/karzar-image-review/img02a02-remainder-all-pkg/previews/ab0bb088e57e68eac1513901123b4939787450c38ce39dbfa4b31bc5537b716f.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,PREFER_REPLACEMENT,IMG-02A-02-REMAINDER-ALL,تصویر به‌صورت بصری با محصول تخصیص‌یافته هم‌خوان است. نشان ShopMill در تصویر دیده می‌شود؛ جایگزین رسمی یا مجاز بدون نشان ترجیح دارد.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
1561,5511-1100,5511-1100,گیج داخل سیلندر ساعت — 0-1100mm,Dasqua | داسکوا,True,False,True,1685,https://api.karzartools.com/static/uploads/products/1561/0d1fed29d913d1ee.webp,1561/0d1fed29d913d1ee.webp,primary,True,0,edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2,1500,1500,40644,image/webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,PREFER_REPLACEMENT,IMG-02A-02-PILOT-001,نشان ShopMill در گوشهٔ تصویر دیده می‌شود؛ استفادهٔ موقت ممکن است، اما جایگزین بدون نشان ترجیح دارد. این دارایی میان چند محصول هم‌خانواده مشترک است و برای تصویر ثانویه مناسب‌تر از تصویر دقیق هر SKU است.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
1562,5511-1105,5511-1105,گیج داخل سیلندر ساعت — 0-1105mm,Dasqua | داسکوا,True,False,True,1686,https://api.karzartools.com/static/uploads/products/1562/e51eb928612f5d8f.webp,1562/e51eb928612f5d8f.webp,primary,True,0,edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2,1500,1500,40644,image/webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,PREFER_REPLACEMENT,IMG-02A-02-PILOT-001,نشان ShopMill در گوشهٔ تصویر دیده می‌شود؛ استفادهٔ موقت ممکن است، اما جایگزین بدون نشان ترجیح دارد. این دارایی میان چند محصول هم‌خانواده مشترک است و برای تصویر ثانویه مناسب‌تر از تصویر دقیق هر SKU است.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
1563,5511-1110,5511-1110,ساعت با پراپ های گیج داخل سیلندر — 0-18mm,Dasqua | داسکوا,True,False,True,1687,https://api.karzartools.com/static/uploads/products/1563/4765638de39809db.webp,1563/4765638de39809db.webp,primary,True,0,edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2,1500,1500,40644,image/webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,PREFER_REPLACEMENT,IMG-02A-02-PILOT-001,نشان ShopMill در گوشهٔ تصویر دیده می‌شود؛ استفادهٔ موقت ممکن است، اما جایگزین بدون نشان ترجیح دارد. این دارایی میان چند محصول هم‌خانواده مشترک است و برای تصویر ثانویه مناسب‌تر از تصویر دقیق هر SKU است.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
1566,5511-1121,5511-1121,گیج داخل سیلندر ساعت — 0-1121mm,Dasqua | داسکوا,True,False,True,1688,https://api.karzartools.com/static/uploads/products/1566/2819043d6f439f56.webp,1566/2819043d6f439f56.webp,primary,True,0,edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2,1500,1500,40644,image/webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,PREFER_REPLACEMENT,IMG-02A-02-PILOT-001,نشان ShopMill در گوشهٔ تصویر دیده می‌شود؛ استفادهٔ موقت ممکن است، اما جایگزین بدون نشان ترجیح دارد. این دارایی میان چند محصول هم‌خانواده مشترک است و برای تصویر ثانویه مناسب‌تر از تصویر دقیق هر SKU است.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
1567,5511-1130,5511-1130,ساعت با پراپ های گیج داخل سیلندر — 0-160mm,Dasqua | داسکوا,True,False,True,1689,https://api.karzartools.com/static/uploads/products/1567/894b84dd57f2db89.webp,1567/894b84dd57f2db89.webp,primary,True,0,edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2,1500,1500,40644,image/webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,PREFER_REPLACEMENT,IMG-02A-02-PILOT-001,نشان ShopMill در گوشهٔ تصویر دیده می‌شود؛ استفادهٔ موقت ممکن است، اما جایگزین بدون نشان ترجیح دارد. این دارایی میان چند محصول هم‌خانواده مشترک است و برای تصویر ثانویه مناسب‌تر از تصویر دقیق هر SKU است.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
1568,5511-1135,5511-1135,ساعت با پراپ های گیج داخل سیلندر — 0-250mm,Dasqua | داسکوا,True,False,True,1690,https://api.karzartools.com/static/uploads/products/1568/a100b945c3d5bba3.webp,1568/a100b945c3d5bba3.webp,primary,True,0,edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2,1500,1500,40644,image/webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,PREFER_REPLACEMENT,IMG-02A-02-PILOT-001,نشان ShopMill در گوشهٔ تصویر دیده می‌شود؛ استفادهٔ موقت ممکن است، اما جایگزین بدون نشان ترجیح دارد. این دارایی میان چند محصول هم‌خانواده مشترک است و برای تصویر ثانویه مناسب‌تر از تصویر دقیق هر SKU است.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
1569,5511-1140,5511-1140,گیج داخل سیلندر ساعت — 0-450mm,Dasqua | داسکوا,True,False,True,1691,https://api.karzartools.com/static/uploads/products/1569/5bb435220148b67f.webp,1569/5bb435220148b67f.webp,primary,True,0,edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2,1500,1500,40644,image/webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/edae5df10eb27be0a8654db4b7db8a19658ea93bd8fb79fbfc66487af9f31ee2.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,PREFER_REPLACEMENT,IMG-02A-02-PILOT-001,نشان ShopMill در گوشهٔ تصویر دیده می‌شود؛ استفادهٔ موقت ممکن است، اما جایگزین بدون نشان ترجیح دارد. این دارایی میان چند محصول هم‌خانواده مشترک است و برای تصویر ثانویه مناسب‌تر از تصویر دقیق هر SKU است.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
1570,5511-2105,5511-2105,گیج داخل سیلندر با پراپ های,Dasqua | داسکوا,True,False,True,1692,https://api.karzartools.com/static/uploads/products/1570/dde83815b813172b.webp,1570/dde83815b813172b.webp,primary,True,0,c3cd418c874b3c23f7e6caf72f6231fecbad14c377def6a020d7bba9eb54761c,1500,1500,33094,image/webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/c3cd418c874b3c23f7e6caf72f6231fecbad14c377def6a020d7bba9eb54761c.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,REPLACE_REQUIRED,IMG-02A-02-PILOT-001,تصویر یک پراپ یا میلهٔ منفرد را نشان می‌دهد؛ برای محصولات «گیج داخل سیلندر با پراپ‌ها» کافی و متناسب نیست؛ نشان ShopMill نیز دیده می‌شود.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
1571,5511-2110,5511-2110,گیج داخل سیلندر با پراپ های — 0-18mm,Dasqua | داسکوا,True,False,True,1693,https://api.karzartools.com/static/uploads/products/1571/77775e17e97e85d1.webp,1571/77775e17e97e85d1.webp,primary,True,0,c3cd418c874b3c23f7e6caf72f6231fecbad14c377def6a020d7bba9eb54761c,1500,1500,33094,image/webp,/var/tmp/karzar-image-review/prior-batches/img02a02-pilot-001/previews/c3cd418c874b3c23f7e6caf72f6231fecbad14c377def6a020d7bba9eb54761c.png,IMG-02A-01 inventory + IMG-02A-02 HR,distributor_or_retailer,REPLACE_REQUIRED,IMG-02A-02-PILOT-001,تصویر یک پراپ یا میلهٔ منفرد را نشان می‌دهد؛ برای محصولات «گیج داخل سیلندر با پراپ‌ها» کافی و متناسب نیست؛ نشان ShopMill نیز دیده می‌شود.,True,high,yellow_dark,"67,59,414,159",hr_and_auto
