id,sku,catalog_code,confidence,match_rule,name,range,accuracy,resolution,series,pdf_page
3641,3109-75,3109-75A,very_high,unique_letter_suffix,میکرومتر دیجیتال اینسایز (Insize) 75-50 میلی متر خارج سنج مدل 75-3109,"50-75mm/2-3""",±3µm,"0.001mm/0.00005""","DIGITAL OUTSIDE MICROMETERS (BASIC TYPE, WITHOUT DATA OUTPUT) ATTENTION: NO",154
3636,1140-25,1140-25,very_high,exact_code,کولیس دیجیتال اینسایز (Insize) 2.5 سانتی متر عمق سنج مدل 25-1140,"0-25mm/0-1""",±0.02mm,"0.01mm/0.0005""",DATA MINI DIGITAL DEPTH GAUGES,101
3634,1214-2000,1214-2000,very_high,exact_code,کولیس معمولی اینسایز (Insize) 2 متری استنلیس استیل مدل 2000-1214,"0-2000mm/0-80""",±0.14mm,"0.02mm/0.001""",VERNIER CALIPERS (SEPARATE TYPE),51
3630,2322-60,2322-60A,very_high,unique_letter_suffix,بورگیج داخل سیلندر اینسایز (Insize) 60-35 میلی متری مدل 60-2322,35-60mm,±0.018mm,"0.002mm/0.0001"" ±0.018mm",BORE GAUGES (WITH DIAL INDICATOR) ATTENTION: NOT SUITABLE,248
3629,2322-35,2322-35A,very_high,unique_letter_suffix,بورگیج داخل سیلندر اینسایز (Insize) 35-18 میلی متری مدل 35-2322,18-35mm,±0.015mm,"0.002mm/0.0001"" ±0.018mm",BORE GAUGES (WITH DIAL INDICATOR) ATTENTION: NOT SUITABLE,248
3607,7114-3460,7114-3460,very_high,exact_code,سیرکومتر 1100-700 میلی متر اینسایز (Insize) مدل 3460-7114,2190-3460mm / Ø700-1100mm,circumference ±3mm; diameter ±1mm,0.1mm,CAN BE CUSTOM-MADE,265
3606,7114-2200,7114-2200,very_high,exact_code,سیرکومتر 700-300 میلی متر اینسایز (Insize) مدل 2200-7114,940-2200mm / Ø300-700mm,circumference ±3mm; diameter ±1mm,0.1mm,CAN BE CUSTOM-MADE,265
3595,1140-50,1140-50,very_high,exact_code,کولیس دیجیتال اینسایز (Insize) 5 سانتی متر عمق سنج مدل 50-1140,"0-50mm/0-2""",±0.02mm,"0.01mm/0.0005""",DATA MINI DIGITAL DEPTH GAUGES,101
3583,1240-5001,1240-5001,very_high,exact_code,کولیس معمولی اینسایز (Insize) 50 سانتی متر عمق سنج استن استیل مدل 5001-1240,0-500mm,±0.05mm,0.05mm,VERNIER DEPTH GAUGES (STANDARD TYPE),98
3581,1240-3001,1240-3001,very_high,exact_code,کولیس عمق سنج 30 سانتی متر اینسایز (Insize) مدل 3001-1240,0-300mm,±0.04mm,0.05mm,VERNIER DEPTH GAUGES (STANDARD TYPE),98
