id,sku,name,reason,candidates,confidence
4156,9646-301,سختی سنج فلزات اینسایز (Insize) مدل 301-9646,not_in_catalog_index,,none
4154,5023,ست ساعت شیطونکی و پایه اینسایز(insize) مدل 5023,not_in_catalog_index,,none
4152,5022,ست کولیس و میکرومتر اینسایز(insize) مدل 5022,not_in_catalog_index,,none
4150,5021,ست کولیس و میکرومتر اینسایز(insize) مدل 5021,not_in_catalog_index,,none
4148,5064,ست ابزار دقیق جوشکاری 6 پارچه اینسایز(insize) مدل 5064,not_in_catalog_index,,none
4146,5063,ست ابزار دقیق 6 پارچه اینسایز(insize) مدل 5063,not_in_catalog_index,,none
4145,5062,ست ابزار دقیق 6 پارچه اینسایز(insize) مدل 5062,not_in_catalog_index,,none
4144,5061,ست ابزار دقیق 6 پارچه اینسایز(insize) مدل 5061,not_in_catalog_index,,none
4143,5052,ست ابزار دقیق 5 پارچه اینسایز(insize) مدل 5052,not_in_catalog_index,,none
4142,5051,ست ابزار دقیق 5 پارچه اینسایز(insize) مدل 5051,not_in_catalog_index,,none
4140,5042,ست ابزار دقیق 4 پارچه اینسایز(insize) مدل 5042,not_in_catalog_index,,none
4138,5041,ست ابزار دقیق 4 پارچه اینسایز(insize) مدل 5041,not_in_catalog_index,,none
4137,5031,ست ساعت اندیکاتور دیجیتال و انبر قفلی اینسایز(insize) مدل 5031,not_in_catalog_index,,none
4134,5072,ست ابزار دقیق جوشکاری 7 پارچه اینسایز(insize) مدل 5072,not_in_catalog_index,,none
4132,5071,ست ابزار دقیق جوشکاری 7 پارچه اینسایز(insize) مدل 5071,not_in_catalog_index,,none
4131,2304-01,ساعت اینچی دور کوچک اینسایز (Insize) مدل 01-2304,not_in_catalog_index,,none
4130,7214-50M,کابل انتقال داده ساعت دیجیتال بلوتوثی اینسایز (Insize) مدل 7214-50M,not_in_catalog_index,,none
4129,F5-2311,ساعت اندیکاتور اینسایز (Insize) دور کوچک کورس 5 میلی متری مدل F5-2311,not_in_catalog_index,,none
