product_id,sku,brand,category,active_block,availability_block,price_block,image_block,other_block,block_count
2497,508,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2498,509,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2499,511,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2500,512,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2501,IP65-2,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2502,514,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2503,515,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2504,516,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2505,517,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2506,518,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2507,521,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2508,522,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2509,523,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2510,524,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2511,525,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2512,526,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2513,527,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2514,528,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2515,529,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2516,530,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2517,531,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2518,532,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2519,533,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2520,534,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2521,535,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2522,536,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2523,537,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2524,539,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2525,541,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2526,543,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2527,545,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2528,IP65,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2529,549,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
