product_id,sku,name,brand_id,brand,category_id,category,is_active,is_available,stock_quantity,base_price,original_price,is_priced,image_count,has_real_image,media_materialized,api_visible,storefront_visible,sellable,purchase_eligible,legacy_spec_present,legacy_spec_key_count,product_type_id,product_type,kb_fact_count,kb_asserted_count,kb_unresolved_count,kb_conflict_count,kb_evidence_backed_count,required_definition_count,required_fact_present_count,required_fact_evidenced_count,required_fact_missing_count,technical_maturity_bucket,description_present,short_description_present,commercial_blockers,technical_blockers,deleted_at
3065,3223,قلاویز دستی اینچی BSF فرا یوگوسلاوی اصل,,[NO BRAND],50,قلاویز دستی,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3066,3227,قلاویز دستی میلیمتری DIN 352 فرا یوگوسلاوی اصل,,[NO BRAND],50,قلاویز دستی,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3067,3229,قلاویز دستی میلیمتری چپ DIN 352 فرا یوگوسلاوی اصل,,[NO BRAND],50,قلاویز دستی,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3068,3231,قلاویز آخر رو میلیمتری DIN 352 فرا یوگوسلاوی اصل,,[NO BRAND],50,قلاویز دستی,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3069,3233,قلاویز دستی DIN 352 UNC فرا یوگوسلاوی اصل,,[NO BRAND],50,قلاویز دستی,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3070,3235,قلاویز دستی DIN 352 HSSE فرا یوگوسلاوی اصل,,[NO BRAND],50,قلاویز دستی,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3071,3237,قلاویز دستی میلیمتری نارکس چک,27,Narex | نارکس,50,قلاویز دستی,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3072,3239,قلاویز دستی کبالت دار روکش OX میلیمتری نارکس چک,27,Narex | نارکس,50,قلاویز دستی,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3073,3241,قلاویز دستی دنده ریز میلیمتری نارکس چک,27,Narex | نارکس,50,قلاویز دستی,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3074,3245,برقو دستی فرم A تلرانس DIN 206 H8 فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3075,3247,برقو دستی فرم DIN 206 A فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3076,3249,برقو دستی فرم DIN 206 B فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3077,3253,برقو ماشینی فرا یوگوسلاوی,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3078,3254,برقو ماشینی ته گرد فرم A تلرانس DIN 212 H8 فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3079,3257,برقو ماشینی ته گرد DIN 212 فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3080,3260,برقو ماشینی فرم DIN 208 A فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3081,3262,برقو ماشینی فرم DIN 208 B فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3082,3265,برقو کونیک DIN 1:50 فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3083,3267,برقو کونیک 1:10 فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3084,3270,برقو دستی متحرک گروز,43,Groz | گروز,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3085,3272,برقو متحرک فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3086,3276,جعبه برقو متحرک فرا یوگوسلاوی اصل,,[NO BRAND],47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3087,AST-DM50,دستگاه دریل مگنت AST-DM 60,13,ASTPOWER | ای اس تی پاور,123,دستگاه دریل مگنت,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
3088,AST-DM120,دستگاه دریل مگنت AST-DM 120,13,ASTPOWER | ای اس تی پاور,123,دستگاه دریل مگنت,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
